Name	                Künstler	    Komponist	Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	 Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Intro	                Social Justice		        Unity Is Strength						                                            Rock	8195616	    46			                            1	        10		            1989     28.12.17 15:38	28.12.17 15:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Justice:Unity Is Strength:01 Intro.aif
Don't Push Me Too Far	Social Justice		        Unity Is Strength						                                            Rock	30894784	174			                            2	        10		            1989     28.12.17 15:38	28.12.17 15:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Justice:Unity Is Strength:02 Don't Push Me Too Far.aif
Being Accepted	        Social Justice		        Unity Is Strength						                                            Rock	21973641	124			                            3	        10		            1989     28.12.17 15:38	28.12.17 15:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Justice:Unity Is Strength:03 Being Accepted.aif
Left Behind	            Social Justice		        Unity Is Strength						                                            Rock	26148438	147			                            4	        10		            1989     28.12.17 15:38	28.12.17 15:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Justice:Unity Is Strength:04 Left Behind.aif
Youth Unite	            Social Justice		        Unity Is Strength						                                            Rock	17246118	97			                            5	        10		            1989     28.12.17 15:38	28.12.17 15:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Justice:Unity Is Strength:05 Youth Unite.aif
Unity Is Strength	    Social Justice		        Unity Is Strength						                                            Rock	22455804	127			                            6	        10		            1989     28.12.17 15:38	28.12.17 15:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Justice:Unity Is Strength:06 Unity Is Strength.aif
Walk Alone	            Social Justice		        Unity Is Strength						                                            Rock	29229557	165			                            7	        10		            1989     28.12.17 15:38	28.12.17 15:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Justice:Unity Is Strength:07 Walk Alone.aif
If You Never Try...	    Social Justice		        Unity Is Strength						                                            Rock	21373886	120			                            8	        10		            1989     28.12.17 15:38	28.12.17 15:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Justice:Unity Is Strength:08 If You Never Try....aif
You Say We're Wrong	    Social Justice		        Unity Is Strength						                                            Rock	17979950	101			                            9	        10		            1989     28.12.17 15:38	28.12.17 15:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Justice:Unity Is Strength:09 You Say We're Wrong.aif
Social Justice	        Social Justice		        Unity Is Strength						                                            Rock	20014428	113			                            10	        10		            1989     28.12.17 15:38	28.12.17 15:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Justice:Unity Is Strength:10 Social Justice.aif
