Name	                    Künstler	Komponist	                Album	                 Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Misery	                    Soul Asylum	Dave Pirner	                Let Your Dim Light Shine						                                            Alternative	46743039	264	    1	        1	                1	        14	                1994	21.01.18 15:53	21.01.18 15:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Soul Asylum:Let Your Dim Light Shine:01 Misery.aif
Shut Down	                Soul Asylum	David Pirner	            Let Your Dim Light Shine						                                            Alternative	30377827	171	    1	        1	                2	        14	                1995	21.01.18 15:53	21.01.18 15:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Soul Asylum:Let Your Dim Light Shine:02 Shut Down.aif
To My Own Devices	        Soul Asylum	David Pirner	            Let Your Dim Light Shine						                                            Alternative	31737291	179	    1	        1	                3	        14	                1995	21.01.18 15:53	21.01.18 15:46	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Soul Asylum:Let Your Dim Light Shine:03 To My Own Devices.aif
Hopes Up	                Soul Asylum	David Pirner	            Let Your Dim Light Shine						                                            Alternative	39776418	225	    1	        1	                4	        14	                1995	21.01.18 15:53	21.01.18 15:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Soul Asylum:Let Your Dim Light Shine:04 Hopes Up.aif
Promises Broken	            Soul Asylum	Daniel Murphy/Mark Perlman	Let Your Dim Light Shine						                                            Alternative	34388007	194	    1	        1	                5	        14	                1995	21.01.18 15:53	21.01.18 15:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Soul Asylum:Let Your Dim Light Shine:05 Promises Broken.aif
Bittersweetheart	        Soul Asylum	David Pirner	            Let Your Dim Light Shine						                                            Alternative	37988906	214	    1	        1	                6	        14	                1995	21.01.18 15:53	21.01.18 15:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Soul Asylum:Let Your Dim Light Shine:06 Bittersweetheart.aif
String Of Pearls	        Soul Asylum	David Pirner	            Let Your Dim Light Shine						                                            Alternative	52251434	295	    1	        1	                7	        14	                1995	21.01.18 15:53	21.01.18 15:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Soul Asylum:Let Your Dim Light Shine:07 String Of Pearls.aif
Crawl	                    Soul Asylum	David Pirner/Steve Jordan	Let Your Dim Light Shine						                                            Alternative	42575308	240	    1	        1	                8	        14	                1995	21.01.18 15:53	21.01.18 15:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Soul Asylum:Let Your Dim Light Shine:08 Crawl.aif
Caged Rat	                Soul Asylum	David Pirner	            Let Your Dim Light Shine						                                            Alternative	32365267	183	    1	        1	                9	        14	                1995	21.01.18 15:53	21.01.18 15:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Soul Asylum:Let Your Dim Light Shine:09 Caged Rat.aif
Eyes Of A Child	            Soul Asylum	David Pirner	            Let Your Dim Light Shine						                                            Alternative	37981850	214	    1	        1	                10	        14	                1995	21.01.18 15:53	21.01.18 15:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Soul Asylum:Let Your Dim Light Shine:10 Eyes Of A Child.aif
Just Like Anyone	        Soul Asylum	David Pirner	            Let Your Dim Light Shine						                                            Alternative	29639307	167	    1	        1	                11	        14	                1995	21.01.18 15:53	21.01.18 15:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Soul Asylum:Let Your Dim Light Shine:11 Just Like Anyone.aif
Tell Me When	            Soul Asylum	L. Samuels/David Pirner	    Let Your Dim Light Shine						                                            Alternative	39346018	222	    1	        1	                12	        14	                1995	21.01.18 15:53	21.01.18 15:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Soul Asylum:Let Your Dim Light Shine:12 Tell Me When.aif
Nothing To Write Home About	Soul Asylum	David Pirner	            Let Your Dim Light Shine						                                            Alternative	34305686	194	    1	        1	                13	        14	                1995	21.01.18 15:53	21.01.18 15:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Soul Asylum:Let Your Dim Light Shine:13 Nothing To Write Home About.aif
I Did My Best	            Soul Asylum	David Pirner	            Let Your Dim Light Shine						                                            Alternative	39964584	226	    1	        1	                14	        14	                1995	21.01.18 15:53	21.01.18 15:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Soul Asylum:Let Your Dim Light Shine:14 I Did My Best.aif
