Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Garden Grove,Sublime,Eric Wilson/Bradley Nowell/Linton Kwesi Johnson/Floyd Gaugh,Sublime,,,,,,Alternative,46125026,261,1,1,1,17,1996,"04.01.18, 06:22","04.01.18, 06:21",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:01 Garden Grove.aif
What I Got,Sublime,Floyd Gaugh/Bradley Nowell/Eric Wilson/Lindon Roberts,Sublime,,,,,,Alternative,30178458,171,1,1,2,17,1996,"04.01.18, 06:22","04.01.18, 06:22",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:02 What I Got.aif
Wrong Way,Sublime,Eric Wilson/Floyd Gaugh/Bradley Nowell,Sublime,,,,,,Alternative,24063242,136,1,1,3,17,1996,"04.01.18, 06:23","04.01.18, 06:22",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:03 Wrong Way.aif
Same In The End,Sublime,Bradley Nowell/Eric Wilson/Floyd Gaugh,Sublime,,,,,,Alternative,27614768,156,1,1,4,17,1996,"04.01.18, 06:23","04.01.18, 06:23",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:04 Same In The End.aif
"April 29, 1992 (Miami)",Sublime,Lawrence Parker/Marshall Goodman/Joseph Williams/Michael Happoldt/Bradley Nowell,Sublime,,,,,,Alternative,41167041,233,1,1,5,17,1996,"04.01.18, 06:24","04.01.18, 06:23",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:05 April 29, 1992 (Miami).aif"
Santeria,Sublime,Bradley Nowell/Floyd Gaugh/Eric Wilson,Sublime,,,,,,Alternative,32318761,183,1,1,6,17,1996,"04.01.18, 06:24","04.01.18, 06:24",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:06 Santeria.aif
Seed,Sublime,Floyd Gaugh/Bradley Nowell/Eric Wilson,Sublime,,,,,,Alternative,22976613,130,1,1,7,17,1996,"04.01.18, 06:24","04.01.18, 06:24",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:07 Seed.aif
Jailhouse,Sublime,Eric Wilson/Bradley Nowell/Floyd Gaugh,Sublime,,,,,,Alternative,51734522,293,1,1,8,17,1996,"04.01.18, 06:25","04.01.18, 06:24",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:08 Jailhouse.aif
Pawn Shop,Sublime,George Matthews/Floyd Gaugh/Eric Wilson/Bradley Nowell/Lloyd Edward McDonald,Sublime,,,,,,Alternative,64588240,366,1,1,9,17,1996,"04.01.18, 06:25","04.01.18, 06:25",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:09 Pawn Shop.aif
Paddle Out,Sublime,Floyd Gaugh/Eric Wilson/Bradley Nowell,Sublime,,,,,,Alternative,13295788,75,1,1,10,17,1996,"04.01.18, 06:26","04.01.18, 06:25",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:10 Paddle Out.aif
The Ballad Of Johnny Butt,Sublime,Mike Davis/Rick Selga/Kevin Roach,Sublime,,,,,,Alternative,23181254,131,1,1,11,17,1996,"04.01.18, 06:26","04.01.18, 06:26",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:11 The Ballad Of Johnny Butt.aif
Burritos,Sublime,Bradley Nowell/Eric Wilson/Floyd Gaugh,Sublime,,,,,,Alternative,41526842,235,1,1,12,17,1996,"04.01.18, 06:26","04.01.18, 06:26",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:12 Burritos.aif
Under My Voodoo,Sublime,Eric Wilson/Bradley Nowell/Floyd Gaugh,Sublime,,,,,,Alternative,36312465,205,1,1,13,17,1996,"04.01.18, 06:26","04.01.18, 06:26",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:13 Under My Voodoo.aif
Get Ready,Sublime,Bradley Nowell/Floyd Gaugh/Eric Wilson/Lawrence Krsone Parker,Sublime,,,,,,Alternative,51292370,290,1,1,14,17,1996,"04.01.18, 06:27","04.01.18, 06:27",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:14 Get Ready.aif
Caress Me Down,Sublime,Floyd Gaugh/Bradley Nowell/Eric Wilson,Sublime,,,,,,Alternative,37352048,211,1,1,15,17,1996,"04.01.18, 06:27","04.01.18, 06:27",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:15 Caress Me Down.aif
What I Got (Reprise),Sublime,Bradley Nowell,Sublime,,,,,,Alternative,25403870,144,1,1,16,17,1996,"04.01.18, 06:35","04.01.18, 06:27",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:16 What I Got (Reprise).aif
Doin' Time,Sublime,Marshall Goodman/Bradley Nowell,Sublime,,,,,,Alternative,2277,,1,1,17,17,1996,"04.01.18, 06:42","04.01.18, 06:42",,,,,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Sublime:17 Doin' Time.aif
