Name	                                Künstler	Komponist	    Album	                                    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Don't Push (Live)	                    Sublime	    Bradley Nowell	Stand By Your Van [Live] [Edited Version]						                                            Ska Punk	31666280	179	    1	        1	                1	        15	                1998	04.01.18 07:15	04.01.18 07:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Stand By Your Van [Live] [Edited Version]:01 Don't Push (Live).aif
Right Back [Live]	                    Sublime	    Bradley Nowell	Stand By Your Van [Live] [Edited Version]						                                            Ska Punk	28526360	161	    1	        1	                2	        15	                1998	04.01.18 07:15	04.01.18 07:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Stand By Your Van [Live] [Edited Version]:02 Right Back [Live].aif
New Thrash [Live]	                    Sublime	    Bradley Nowell	Stand By Your Van [Live] [Edited Version]						                                            Ska Punk	11114504	62	    1	        1	                3	        15	                1998	04.01.18 07:15	04.01.18 07:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Stand By Your Van [Live] [Edited Version]:03 New Thrash [Live].aif
Let's Go Get Stoned [Live]	            Sublime	    Bradley Nowell	Stand By Your Van [Live] [Edited Version]						                                            Ska Punk	50889185	288	    1	        1	                4	        15	                1998	04.01.18 07:15	04.01.18 07:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Stand By Your Van [Live] [Edited Version]:04 Let's Go Get Stoned [Live].aif
Greatest Hits (Live)	                Sublime	    Bradley Nowell	Stand By Your Van [Live] [Edited Version]						                                            Ska Punk	30266843	171	    1	        1	                5	        15	                1998	04.01.18 07:15	04.01.18 07:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Stand By Your Van [Live] [Edited Version]:05 Greatest Hits (Live).aif
Date %^$#$ (Live)	                    Sublime	    Bradley Nowell	Stand By Your Van [Live] [Edited Version]						                                            Ska Punk	40298120	228	    1	        1	                6	        15	                1998	04.01.18 07:15	04.01.18 07:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Stand By Your Van [Live] [Edited Version]:06 Date %^$#$ (Live).aif
S.T.P.      	                        Sublime	    Bradley Nowell	Stand By Your Van [Live] [Edited Version]						                                            Ska Punk	29260173	165	    1	        1	                7	        15	                1998	04.01.18 07:15	04.01.18 07:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Stand By Your Van [Live] [Edited Version]:07 S.T.P..aif
Badfish [Live]	                        Sublime	    Bradley Nowell	Stand By Your Van [Live] [Edited Version]						                                            Ska Punk	32324837	183	    1	        1	                8	        15	                1998	04.01.18 07:15	04.01.18 07:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Stand By Your Van [Live] [Edited Version]:08 Badfish [Live].aif
D.J.'s (Live At Kommotion/1994)	        Sublime	    Bradley Nowell	Stand By Your Van [Live] [Edited Version]						                                            Ska Punk	44585830	252	    1	        1	                9	        15	                1998	04.01.18 07:15	04.01.18 07:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Stand By Your Van [Live] [Edited Version]:09 D.J.'s (Live At Kommotion_1994).aif
Work That We Do [Live]          	    Sublime	    Bradley Nowell	Stand By Your Van [Live] [Edited Version]						                                            Ska Punk	36139790	204	    1	        1	                10	        15	                1998	04.01.18 07:15	04.01.18 07:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Stand By Your Van [Live] [Edited Version]:10 Work That We Do [Live].aif
Pool Shark (Live At Kommotion/1994)	    Sublime	    Bradley Nowell	Stand By Your Van [Live] [Edited Version]						                                            Ska Punk	24099915	136	    1	        1	                11	        15	                1998	04.01.18 07:15	04.01.18 07:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Stand By Your Van [Live] [Edited Version]:11 Pool Shark (Live At Kommotion_1994).aif
Ebin (Live At The Tressel Tavern/1994)	Sublime	    Bradley Nowell	Stand By Your Van [Live] [Edited Version]						                                            Ska Punk	36711342	207	    1	        1	                12	        15	                1998	04.01.18 07:15	04.01.18 07:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Stand By Your Van [Live] [Edited Version]:12 Ebin (Live At The Tressel Tavern_1994).aif
All You Need (Live)	                    Sublime	    Bradley Nowell	Stand By Your Van [Live] [Edited Version]						                                            Ska Punk	28977947	164	    1	        1	                13	        15	                1998	04.01.18 07:15	04.01.18 07:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Stand By Your Van [Live] [Edited Version]:13 All You Need (Live).aif
Waiting For My Ruca (Live)	            Sublime	    Bradley Nowell	Stand By Your Van [Live] [Edited Version]						                                            Ska Punk	24558546	138	    1	        1	                14	        15	                1998	04.01.18 07:15	04.01.18 07:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sublime:Stand By Your Van [Live] [Edited Version]:14 Waiting For My Ruca (Live).aif
