Name	                Künstler	Komponist	Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	    Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	Hinzugefügt	        Datenrate	Abtastrate	Lautstärkeanpassung	Art	                Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Bootywhack	            Surgery		            Shimmer						                                            Alternative	31383309	177			                                1	        11	                1994	28.12.17 17:55	28.12.17 17:51	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Shimmer:01 Bootywhack.aif
Off The A List	        Surgery		            Shimmer						                                            Alternative	51547009	292			                                2	        11	                1994	28.12.17 17:55	28.12.17 17:51	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Shimmer:02 Off The A List.aif
Shimmer	                Surgery		            Shimmer						                                            Alternative	24205002	137			                                3	        11	                1994	28.12.17 17:55	28.12.17 17:52	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Shimmer:03 Shimmer.aif
Vibe Out	            Surgery		            Shimmer						                                            Alternative	42616459	241			                                4	        11	                1994	28.12.17 17:55	28.12.17 17:52	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Shimmer:04 Vibe Out.aif
Mr. Scientist	        Surgery		            Shimmer						                                            Alternative	30614208	173			                                5	        11	                1994	28.12.17 17:55	28.12.17 17:52	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Shimmer:05 Mr. Scientist.aif
Low Cut Blues	        Surgery		            Shimmer						                                            Alternative	70515888	399			                                6	        11	                1994	28.12.17 17:55	28.12.17 17:52	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Shimmer:06 Low Cut Blues.aif
D-Nice	                Surgery		            Shimmer						                                            Alternative	44425145	251			                                7	        11	                1994	28.12.17 17:55	28.12.17 17:53	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Shimmer:07 D-Nice.aif
Gulf Coast Score	    Surgery		            Shimmer						                                            Alternative	52377267	296			                                8	        11	                1994	28.12.17 17:55	28.12.17 17:53	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Shimmer:08 Gulf Coast Score.aif
Nilla Waif	            Surgery		            Shimmer						                                            Alternative	36106125	204			                                9	        11	                1994	28.12.17 17:55	28.12.17 17:53	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Shimmer:09 Nilla Waif.aif
Didn't I Know You Once	Surgery		            Shimmer						                                            Alternative	37717260	213			                                10	        11	                1994	28.12.17 17:55	28.12.17 17:54	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Shimmer:10 Didn't I Know You Once.aif
No. 1 Pistola	        Surgery		            Shimmer						                                            Alternative	58701795	332			                                11	        11	                1994	28.12.17 17:55	28.12.17 17:54	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Shimmer:11 No. 1 Pistola.aif
