Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Super High Slow,Arizona Rain,,Swallow,,,,,,Other,67669664,382,1,1,11,11,1996,"14.02.18, 09:08","27.01.18, 16:26",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Swallow:11 Super High Slow.aif
Cool Guy,Curb,,Swallow,,,,,,Other,33511550,189,1,1,9,11,1996,"14.02.18, 09:08","27.01.18, 16:25",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Swallow:09 Cool Guy.aif
"Frankly Scarlet, My Dear...",Kevin McLellan,,Swallow,,,,,,Other,49653355,280,1,1,8,11,1996,"14.02.18, 09:08","27.01.18, 16:24",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Swallow:08 Frankly Scarlet, My Dear....aif"
Let Me In,The Longfellows,,Swallow,,,,,,Other,41259050,233,1,1,2,11,1996,"14.02.18, 09:08","27.01.18, 16:20",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Swallow:02 Let Me In.aif
Precious,Mark Perak,,Swallow,,,,,,Other,33455108,188,1,1,6,11,1996,"14.02.18, 09:08","27.01.18, 16:23",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Swallow:06 Precious.aif
Hockey Hair,The Mighty Fishermen,,Swallow,,,,,,Other,29435553,166,1,1,3,11,1996,"14.02.18, 09:08","27.01.18, 16:21",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Swallow:03 Hockey Hair.aif
Rumple Foreskin,The Minitures,,Swallow,,,,,,Other,33001182,186,1,1,5,11,1996,"14.02.18, 09:08","27.01.18, 16:22",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Swallow:05 Rumple Foreskin.aif
Strange,My Neighbour Ned,,Swallow,,,,,,Other,36896092,208,1,1,10,11,1996,"14.02.18, 09:08","27.01.18, 16:25",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Swallow:10 Strange.aif
Dream Away,PAINTBOX,,Swallow,,,,,,Other,52224068,295,1,1,7,11,1996,"14.02.18, 09:08","27.01.18, 16:23",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Swallow:07 Dream Away.aif
Would You Agree?,The Shannon Lyon Pop Explosion,,Swallow,,,,,,Other,38128560,215,1,1,4,11,1996,"14.02.18, 09:08","27.01.18, 16:22",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Swallow:04 Would You Agree_.aif
Don't Touch Me There,Strange Days,,Swallow,,,,,,Other,34704034,195,1,1,1,11,1996,"14.02.18, 09:08","27.01.18, 16:19",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Swallow:01 Don't Touch Me There.aif
