Name	        Künstler	    Komponist	                                    Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Chic N' Stu	    System Of A Down	Daron Malakian	                            Steal This Album!						                                            Metal	25364900	143	    1	        1	                1	        16	                2002	21.01.18 15:20	21.01.18 15:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:01 Chic N' Stu.aif
Innervision	    System Of A Down	Daron Malakian	                            Steal This Album!						                                            Metal	27154772	153	    1	        1	                2	        16	                2002	21.01.18 15:20	21.01.18 15:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:02 Innervision.aif
Bubbles	        System Of A Down	Daron Malakian	                            Steal This Album!						                                            Metal	20649136	116	    1	        1	                3	        16	                2002	21.01.18 15:20	21.01.18 15:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:03 Bubbles.aif
Boom!	        System Of A Down	john dolmayan/Serj Tankian/Shavo Odadjian	Steal This Album!						                                            Metal	23826713	134	    1	        1	                4	        16	                2002	21.01.18 15:20	21.01.18 15:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:04 Boom!.aif
Nüguns	        System Of A Down	Daron Malakian	                            Steal This Album!						                                            Metal	26552664	150	    1	        1	                5	        16	                2002	21.01.18 15:20	21.01.18 15:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:05 Nüguns.aif
A.D.D.	        System Of A Down	Daron Malakian	                            Steal This Album!						                                            Metal	34834047	197	    1	        1	                6	        16	                2002	21.01.18 15:20	21.01.18 15:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:06 A.D.D..aif
Mr. Jack	    System Of A Down	Serj Tankian	                            Steal This Album!						                                            Metal	44063295	249	    1	        1	                7	        16	                2002	21.01.18 15:20	21.01.18 15:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:07 Mr. Jack.aif
I-E-A-I-A-I-O	System Of A Down	Glen A. Larson/Stu Philipps/Shavo Odadjian	Steal This Album!						                                            Metal	33298226	188	    1	        1	                8	        16	                2002	21.01.18 15:20	21.01.18 15:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:08 I-E-A-I-A-I-O.aif
36	            System Of A Down	Daron Malakian	                            Steal This Album!						                                            Metal	8202347	    46	    1	        1	                9	        16	                2002	21.01.18 15:20	21.01.18 15:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:09 36.aif
Pictures	    System Of A Down	Daron Malakian	                            Steal This Album!						                                            Metal	22309652	126	    1	        1	                10	        16	                2002	21.01.18 15:20	21.01.18 15:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:10 Pictures.aif
Highway Song	System Of A Down	Daron Malakian	                            Steal This Album!						                                            Metal	34184904	193	    1	        1	                11	        16	                2002	21.01.18 15:20	21.01.18 15:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:11 Highway Song.aif
Fuck The System	System Of A Down	Daron Malakian	                            Steal This Album!						                                            Metal	23443323	132	    1	        1	                12	        16	                2002	21.01.18 15:20	21.01.18 15:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:12 Fuck The System.aif
Ego Brain	    System Of A Down	Serj Tankian	                            Steal This Album!						                                            Metal	35645491	201	    1	        1	                13	        16	                2002	21.01.18 15:20	21.01.18 15:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:13 Ego Brain.aif
Thetawaves	    System Of A Down	Serj Tankian	                            Steal This Album!						                                            Metal	27653396	156	    1	        1	                14	        16	                2002	21.01.18 15:20	21.01.18 15:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:14 Thetawaves.aif
Roulette	    System Of A Down	Daron Malakian	                            Steal This Album!						                                            Metal	35520836	201	    1	        1	                15	        16	                2002	21.01.18 15:20	21.01.18 15:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:15 Roulette.aif
Streamline	    System Of A Down	Serj Tankian	                            Steal This Album!						                                            Metal	38413796	217	    1	        1	                16	        16	                2002	21.01.18 15:20	21.01.18 15:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:Steal This Album!:16 Streamline.aif
