Name	            Künstler	    Komponist	Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
People Like You	    Ten Foot Pole		        Swill						                                            Punk	17676024	100	    1	        1	                1	        13	                1993	28.12.17 17:43	28.12.17 17:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Swill:01 People Like You.aif
Skywalker	        Ten Foot Pole		        Swill						                                            Punk	23090322	130	    1	        1	                2	        13	                1993	28.12.17 17:43	28.12.17 17:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Swill:02 Skywalker.aif
Pete's Shoes	    Ten Foot Pole		        Swill						                                            Punk	24637941	139	    1	        1	                3	        13	                1993	28.12.17 17:43	28.12.17 17:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Swill:03 Pete's Shoes.aif
Life	            Ten Foot Pole		        Swill						                                            Punk	34516333	195	    1	        1	                4	        13	                1993	28.12.17 17:43	28.12.17 17:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Swill:04 Life.aif
Home	            Ten Foot Pole		        Swill						                                            Punk	25785709	146	    1	        1	                5	        13	                1993	28.12.17 17:43	28.12.17 17:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Swill:05 Home.aif
Ultimatum	        Ten Foot Pole		        Swill						                                            Punk	36009858	204	    1	        1	                6	        13	                1993	28.12.17 17:43	28.12.17 17:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Swill:06 Ultimatum.aif
Forward	            Ten Foot Pole		        Swill						                                            Punk	14747776	83	    1	        1	                7	        13	                1993	28.12.17 17:43	28.12.17 17:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Swill:07 Forward.aif
Third World Girl	Ten Foot Pole		        Swill						                                            Punk	35591209	201	    1	        1	                8	        13	                1993	28.12.17 17:43	28.12.17 17:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Swill:08 Third World Girl.aif
Pete's Underwear	Ten Foot Pole		        Swill						                                            Punk	14018665	79	    1	        1	                9	        13	                1993	28.12.17 17:43	28.12.17 17:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Swill:09 Pete's Underwear.aif
School	            Ten Foot Pole		        Swill						                                            Punk	16511776	93	    1	        1	                10	        13	                1993	28.12.17 17:43	28.12.17 17:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Swill:10 School.aif
Man In The Corner	Ten Foot Pole		        Swill						                                            Punk	19769307	111	    1	        1	                11	        13	                1993	28.12.17 17:43	28.12.17 17:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Swill:11 Man In The Corner.aif
Racer X	            Ten Foot Pole		        Swill						                                            Punk	25750433	145	    1	        1	                12	        13	                1993	28.12.17 17:43	28.12.17 17:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Swill:12 Racer X.aif
Joy To The World	Ten Foot Pole		        Swill						                                            Punk	32404250	183	    1	        1	                13	        13	                1993	28.12.17 17:43	28.12.17 17:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Swill:13 Joy To The World.aif
