Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
The Getaway,Ten Foot Pole,Dennis Jagard,Insider,,,,,,Punk,39033417,220,1,1,1,12,1998,"06.01.18, 09:51","06.01.18, 09:45",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Insider:01 The Getaway.aif
Hammering Out The Details,Ten Foot Pole,Dennis Jagard,Insider,,,,,,Punk,24740327,139,1,1,2,12,1998,"06.01.18, 09:51","06.01.18, 09:46",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Insider:02 Hammering Out The Details.aif
Another Half Apology,Ten Foot Pole,Dennis Jagard,Insider,,,,,,Punk,28628178,161,1,1,3,12,1998,"06.01.18, 09:51","06.01.18, 09:46",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Insider:03 Another Half Apology.aif
This Is But A Test,Ten Foot Pole,Dennis Jagard,Insider,,,,,,Punk,33089920,187,1,1,4,12,1998,"06.01.18, 09:51","06.01.18, 09:46",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Insider:04 This Is But A Test.aif
Another Year Goes By,Ten Foot Pole,Dennis Jagard,Insider,,,,,,Punk,31495266,178,1,1,5,12,1998,"06.01.18, 09:51","06.01.18, 09:47",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Insider:05 Another Year Goes By.aif
Nothing To Lose,Ten Foot Pole,Dennis Jagard,Insider,,,,,,Punk,26393773,149,1,1,6,12,1998,"06.01.18, 09:51","06.01.18, 09:47",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Insider:06 Nothing To Lose.aif
I Got Your Letter,Ten Foot Pole,"Glen Vegas, Dennis Jagard",Insider,,,,,,Punk,34736331,196,1,1,7,12,1998,"06.01.18, 09:51","06.01.18, 09:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Insider:07 I Got Your Letter.aif
Officer I Swear She's 19,Ten Foot Pole,Dennis Jagard,Insider,,,,,,Punk,23870086,135,1,1,8,12,1998,"06.01.18, 09:51","06.01.18, 09:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Insider:08 Officer I Swear She's 19.aif
Still Knee Deep,Ten Foot Pole,Dennis Jagard,Insider,,,,,,Punk,26955901,152,1,1,9,12,1998,"06.01.18, 09:51","06.01.18, 09:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Insider:09 Still Knee Deep.aif
Late At Night,Ten Foot Pole,Dennis Jagard,Insider,,,,,,Punk,32266718,182,1,1,10,12,1998,"06.01.18, 09:51","06.01.18, 09:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Insider:10 Late At Night.aif
I Won't Complain Today,Ten Foot Pole,Dennis Jagard,Insider,,,,,,Punk,22976327,129,1,1,11,12,1998,"06.01.18, 09:51","06.01.18, 09:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Insider:11 I Won't Complain Today.aif
Seven,Ten Foot Pole,Dennis Jagard,Insider,,,,,,Punk,31297686,177,1,1,12,12,1998,"06.01.18, 09:51","06.01.18, 09:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ten Foot Pole:Insider:12 Seven.aif
