Name	                                        Künstler	        Komponist	    Album	    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Surfmania (LP Version)	                        The Aqua Velvets	Miles Corbin	Surfmania						                                            Surf	31537746	178	    1	        1	                1	        12	                1995	05.01.18 15:49	05.01.18 15:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Aqua Velvets:Surfmania:01 Surfmania (LP Version).aif
Mexican Rooftop Afternoon (LP Version)	        The Aqua Velvets	Miles Corbin	Surfmania						                                            Surf	39781522	225	    1	        1	                2	        12	                1995	05.01.18 15:49	05.01.18 15:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Aqua Velvets:Surfmania:02 Mexican Rooftop Afternoon (LP Version).aif
Martini Time (LP Version)	                    The Aqua Velvets	Miles Corbin	Surfmania						                                            Surf	46273029	262	    1	        1	                3	        12	                1995	05.01.18 15:49	05.01.18 15:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Aqua Velvets:Surfmania:03 Martini Time (LP Version).aif
Zamora (LP Version)	                            The Aqua Velvets	Miles Corbin	Surfmania						                                            Surf	44480799	251	    1	        1	                4	        12	                1995	05.01.18 15:49	05.01.18 15:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Aqua Velvets:Surfmania:04 Zamora (LP Version).aif
Mastering The Art Of Falling Down (LP Version)	The Aqua Velvets	Miles Corbin	Surfmania						                                            Surf	33807450	191	    1	        1	                5	        12	                1995	05.01.18 15:49	05.01.18 15:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Aqua Velvets:Surfmania:05 Mastering The Art Of Falling Down (LP Version).aif
Martin Denny Esq. (LP Version)	                The Aqua Velvets		            Surfmania						                                            Surf	48053478	272	    1	        1	                6	        12	                1995	05.01.18 15:49	05.01.18 15:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Aqua Velvets:Surfmania:06 Martin Denny Esq. (LP Version).aif
Surf Samba (LP Version)	                        The Aqua Velvets	Miles Corbin	Surfmania						                                            Surf	34378963	194	    1	        1	                7	        12	                1995	05.01.18 15:49	05.01.18 15:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Aqua Velvets:Surfmania:07 Surf Samba (LP Version).aif
A Raymond Chandler Evening (LP Version)	        The Aqua Velvets	Miles Corbin	Surfmania						                                            Surf	32683187	184	    1	        1	                8	        12	                1995	05.01.18 15:49	05.01.18 15:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Aqua Velvets:Surfmania:08 A Raymond Chandler Evening (LP Version).aif
Cabanna Del Gringo (LP Version)	                The Aqua Velvets	Miles Corbin	Surfmania						                                            Surf	33179451	187	    1	        1	                9	        12	                1995	05.01.18 15:49	05.01.18 15:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Aqua Velvets:Surfmania:09 Cabanna Del Gringo (LP Version).aif
Hawaiian Blue (LP Version)	                    The Aqua Velvets	Miles Corbin	Surfmania						                                            Surf	49389431	279	    1	        1	                10	        12	                1995	05.01.18 15:49	05.01.18 15:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Aqua Velvets:Surfmania:10 Hawaiian Blue (LP Version).aif
Green Sunshine (LP Version)	                    The Aqua Velvets	Miles Corbin	Surfmania						                                            Surf	67687992	383	    1	        1	                11	        12	                1995	05.01.18 15:49	05.01.18 15:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Aqua Velvets:Surfmania:11 Green Sunshine (LP Version).aif
Kashmir Sweater (LP Version)	                The Aqua Velvets		            Surfmania						                                            Surf	33541637	189	    1	        1	                12	        12	                1995	05.01.18 15:49	05.01.18 15:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Aqua Velvets:Surfmania:12 Kashmir Sweater (LP Version).aif
