Name	            Künstler	        Komponist	Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Hot Doggin'	        The Boss Martians	Evan Foster	The Boss Martians						                                            Surf	28544481	161	    1	        1	                1	        15	                1995	06.01.18 08:33	06.01.18 08:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:The Boss Martians:01 Hot Doggin'.aif
You Better Run	    The Boss Martians	Evan Foster	The Boss Martians						                                            Surf	40045764	226	    1	        1	                2	        15	                1995	06.01.18 08:33	06.01.18 08:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:The Boss Martians:02 You Better Run.aif
Straight 8	        The Boss Martians	Evan Foster	The Boss Martians						                                            Surf	35880368	203	    1	        1	                3	        15	                1995	06.01.18 08:33	06.01.18 08:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:The Boss Martians:03 Straight 8.aif
Diggin' 58	        The Boss Martians	Evan Foster	The Boss Martians						                                            Surf	50921408	288	    1	        1	                4	        15	                1995	06.01.18 08:33	06.01.18 08:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:The Boss Martians:04 Diggin' 58.aif
Driftwood Beach	    The Boss Martians	Evan Foster	The Boss Martians						                                            Surf	24005125	135	    1	        1	                5	        15	                1995	06.01.18 08:33	06.01.18 08:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:The Boss Martians:05 Driftwood Beach.aif
Hey Tina!	        The Boss Martians	Evan Foster	The Boss Martians						                                            Surf	37681999	213	    1	        1	                6	        15	                1995	06.01.18 08:33	06.01.18 08:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:The Boss Martians:06 Hey Tina!.aif
The Martian Stomp	The Boss Martians	Evan Foster	The Boss Martians						                                            Surf	36762375	208	    1	        1	                7	        15	                1995	06.01.18 08:33	06.01.18 08:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:The Boss Martians:07 The Martian Stomp.aif
Full House '55	    The Boss Martians	Evan Foster	The Boss Martians						                                            Surf	49961796	283	    1	        1	                8	        15	                1995	06.01.18 08:33	06.01.18 08:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:The Boss Martians:08 Full House '55.aif
Keep A Knockin'	    The Boss Martians	Evan Foster	The Boss Martians						                                            Surf	32004277	181	    1	        1	                9	        15	                1995	06.01.18 08:33	06.01.18 08:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:The Boss Martians:09 Keep A Knockin'.aif
Storm Warning	    The Boss Martians	Evan Foster	The Boss Martians						                                            Surf	38194742	216	    1	        1	                10	        15	                1995	06.01.18 08:33	06.01.18 08:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:The Boss Martians:10 Storm Warning.aif
Maxine	            The Boss Martians	Evan Foster	The Boss Martians						                                            Surf	35334703	200	    1	        1	                11	        15	                1995	06.01.18 08:33	06.01.18 08:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:The Boss Martians:11 Maxine.aif
Time Trial Run	    The Boss Martians	Evan Foster	The Boss Martians						                                            Surf	39438951	223	    1	        1	                12	        15	                1995	06.01.18 08:33	06.01.18 08:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:The Boss Martians:12 Time Trial Run.aif
Money	            The Boss Martians	Evan Foster	The Boss Martians						                                            Surf	31442142	178	    1	        1	                13	        15	                1995	06.01.18 08:33	06.01.18 08:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:The Boss Martians:13 Money.aif
Batman	            The Boss Martians	Evan Foster	The Boss Martians						                                            Surf	41207647	233	    1	        1	                14	        15	                1995	06.01.18 08:33	06.01.18 08:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:The Boss Martians:14 Batman.aif
Best Little Girl	The Boss Martians	Evan Foster	The Boss Martians						                                            Surf	24550793	138	    1	        1	                15	        15	                1995	06.01.18 08:33	06.01.18 08:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:The Boss Martians:15 Best Little Girl.aif
