Name	                Künstler	        Komponist	Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Hot Foot	            The Boss Martians	Evan Foster	13 Evil Tales						                                            Surf	37538698	212	    1	        1	                1	        13	                1997	06.01.18 08:44	06.01.18 08:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:13 Evil Tales:01 Hot Foot.aif
Haywire!	            The Boss Martians	Evan Foster	13 Evil Tales						                                            Surf	22897498	129	    1	        1	                2	        13	                1997	06.01.18 08:44	06.01.18 08:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:13 Evil Tales:02 Haywire!.aif
Gonna Have Fun Tonight	The Boss Martians	Evan Foster	13 Evil Tales						                                            Surf	34151832	193	    1	        1	                3	        13	                1997	06.01.18 08:44	06.01.18 08:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:13 Evil Tales:03 Gonna Have Fun Tonight.aif
Outlaw Drag	            The Boss Martians	Evan Foster	13 Evil Tales						                                            Surf	25865725	146	    1	        1	                4	        13	                1997	06.01.18 08:44	06.01.18 08:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:13 Evil Tales:04 Outlaw Drag.aif
X-2	                    The Boss Martians	Evan Foster	13 Evil Tales						                                            Surf	21686213	122	    1	        1	                5	        13	                1997	06.01.18 08:44	06.01.18 08:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:13 Evil Tales:05 X-2.aif
She's Creepy!	        The Boss Martians	Evan Foster	13 Evil Tales						                                            Surf	31987983	181	    1	        1	                6	        13	                1997	06.01.18 08:44	06.01.18 08:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:13 Evil Tales:06 She's Creepy!.aif
Evil Martian	        The Boss Martians	Evan Foster	13 Evil Tales						                                            Surf	26484302	149	    1	        1	                7	        13	                1997	06.01.18 08:44	06.01.18 08:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:13 Evil Tales:07 Evil Martian.aif
Mean Model A	        The Boss Martians	Evan Foster	13 Evil Tales						                                            Surf	41866382	237	    1	        1	                8	        13	                1997	06.01.18 08:44	06.01.18 08:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:13 Evil Tales:08 Mean Model A.aif
Double A Growler	    The Boss Martians	Evan Foster	13 Evil Tales						                                            Surf	28549362	161	    1	        1	                9	        13	                1997	06.01.18 08:44	06.01.18 08:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:13 Evil Tales:09 Double A Growler.aif
Tombstone	            The Boss Martians	Evan Foster	13 Evil Tales						                                            Surf	28142462	159	    1	        1	                10	        13	                1997	06.01.18 08:44	06.01.18 08:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:13 Evil Tales:10 Tombstone.aif
Long Hair Lenny	        The Boss Martians	Evan Foster	13 Evil Tales						                                            Surf	33556772	189	    1	        1	                11	        13	                1997	06.01.18 08:44	06.01.18 08:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:13 Evil Tales:11 Long Hair Lenny.aif
Coffin And A Six Pack	The Boss Martians	Evan Foster	13 Evil Tales						                                            Surf	22497674	127	    1	        1	                12	        13	                1997	06.01.18 08:44	06.01.18 08:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:13 Evil Tales:12 Coffin And A Six Pack.aif
C'Mon Jenny!	        The Boss Martians	Evan Foster	13 Evil Tales						                                            Surf	28913921	163	    1	        1	                13	        13	                1997	06.01.18 08:44	06.01.18 08:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Boss Martians:13 Evil Tales:13 C'Mon Jenny!.aif
