Name	                            Künstler	                            Komponist	            Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Leave Home	                        The Chemical Brothers	                Ed Simons/Blake Baxter	Exit Planet Dust						                                            Electronica	58718468	332	    1	        1	                1	        11	                1995	26.12.17 14:39	26.12.17 14:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Exit Planet Dust:01 Leave Home.aif
In Dust We Trust	                The Chemical Brothers	                Ed Simons	            Exit Planet Dust						                                            Electronica	56091277	317	    1	        1	                2	        11	                1995	26.12.17 14:39	26.12.17 14:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Exit Planet Dust:02 In Dust We Trust.aif
Song To The Siren	                The Chemical Brothers	                Ed Simons	            Exit Planet Dust						                                            Electronica	34770398	196	    1	        1	                3	        11	                1995	26.12.17 14:39	26.12.17 14:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Exit Planet Dust:03 Song To The Siren.aif
Three Little Birdies Down Beats	    The Chemical Brothers	                Ed Simons	            Exit Planet Dust						                                            Electronica	59802748	338	    1	        1	                4	        11	                1995	26.12.17 14:39	26.12.17 14:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Exit Planet Dust:04 Three Little Birdies Down Beats.aif
Fuck Up Beats	                    The Chemical Brothers	                Ed Simons	            Exit Planet Dust						                                            Electronica	15159418	85	    1	        1	                5	        11	                1995	26.12.17 14:39	26.12.17 14:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Exit Planet Dust:05 Fuck Up Beats.aif
Chemical Beats	                    The Chemical Brothers	                Ed Simons	            Exit Planet Dust						                                            Electronica	51269675	290	    1	        1	                6	        11	                1995	26.12.17 14:39	26.12.17 14:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Exit Planet Dust:06 Chemical Beats.aif
Chico's Groove	                    The Chemical Brothers	                Ed Simons	            Exit Planet Dust						                                            Electronica	50987435	288	    1	        1	                7	        11	                1995	26.12.17 14:39	26.12.17 14:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Exit Planet Dust:07 Chico's Groove.aif
One Too Many Mornings	            The Chemical Brothers	                Ed Simons	            Exit Planet Dust						                                            Electronica	44714658	253	    1	        1	                8	        11	                1995	26.12.17 14:39	26.12.17 14:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Exit Planet Dust:08 One Too Many Mornings.aif
Playground Of A Wedgeless Firm	    The Chemical Brothers	                Steven Jones	        Exit Planet Dust						                                            Electronica	26832415	151	    1	        1	                10	        11	                1995	26.12.17 14:39	26.12.17 14:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Exit Planet Dust:10 Playground Of A Wedgeless Firm.aif
Alive Alone	                        The Chemical Brothers Feat. Beth Orton	Ed Simons	            Exit Planet Dust						                                            Electronica	55891370	316	    1	        1	                11	        11	                1995	26.12.17 14:39	26.12.17 14:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Exit Planet Dust:11 Alive Alone.aif
Life Is Sweet	                    The Chemical Brothers Feat. Tim Burgess	Tim Burgess/Ed Simons	Exit Planet Dust						                                            Electronica	69478888	393	    1	        1	                9	        11	                1995	26.12.17 14:39	26.12.17 14:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Exit Planet Dust:09 Life Is Sweet.aif
