Name	                        Künstler	            Komponist	                            Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	                Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Block Rockin' Beats	            The Chemical Brothers	Ed Simons/Jesse Weaver Jnr/Tom Rowlands	Dig Your Own Hole						                                            Electronica	55723416	314	    1	        1	                1	        11	                1997	26.12.17 15:32	26.12.17 15:11	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Dig Your Own Hole:01 Block Rockin' Beats.aif
Dig Your Own Hole	            The Chemical Brothers	Tom Rowlands/Ed Simons	                Dig Your Own Hole						                                            Electronica	57943685	327	    1	        1	                2	        11	                1997	26.12.17 15:32	26.12.17 15:12	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Dig Your Own Hole:02 Dig Your Own Hole.aif
Elektrobank	                    The Chemical Brothers	Tom Rowlands/Ed Simons	                Dig Your Own Hole						                                            Electronica	88150415	498	    1	        1	                3	        11	                1997	26.12.17 15:32	26.12.17 15:13	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Dig Your Own Hole:03 Elektrobank.aif
Piku	                        The Chemical Brothers	Tom Rowlands/Ed Simons	                Dig Your Own Hole						                                            Electronica	52136584	294	    1	        1	                4	        11	                1997	26.12.17 15:32	26.12.17 15:14	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Dig Your Own Hole:04 Piku.aif
Setting Sun	                    The Chemical Brothers	Noel Gallagher/Tom Rowlands/Ed Simons	Dig Your Own Hole						                                            Electronica	58221230	329	    1	        1	                5	        11	                1997	26.12.17 15:32	26.12.17 15:15	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Dig Your Own Hole:05 Setting Sun.aif
It Doesn't Matter	            The Chemical Brothers	Ed Simons/Tom Rowlands	                Dig Your Own Hole						                                            Electronica	66229781	374	    1	        1	                6	        11	                1997	26.12.17 15:32	26.12.17 15:16	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Dig Your Own Hole:06 It Doesn't Matter.aif
Don't Stop The Rock	            The Chemical Brothers	Tony Butler	                            Dig Your Own Hole						                                            Electronica	51064076	288	    1	        1	                7	        11	                1997	26.12.17 15:32	26.12.17 15:17	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Dig Your Own Hole:07 Don't Stop The Rock.aif
Get Up On It Like This	        The Chemical Brothers	Tom Rowlands/Ed Simons	                Dig Your Own Hole						                                            Electronica	29832586	168	    1	        1	                8	        11	                1997	26.12.17 15:32	26.12.17 15:17	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Dig Your Own Hole:08 Get Up On It Like This.aif
Lost In The K-Hole	            The Chemical Brothers	Tom Rowlands/Ed Simons	                Dig Your Own Hole						                                            Electronica	41105718	231	    1	        1	                9	        11	                1997	26.12.17 15:32	26.12.17 15:18	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Dig Your Own Hole:09 Lost In The K-Hole.aif
Where Do I Begin	            The Chemical Brothers	Ed Simons/Tom Rowlands	                Dig Your Own Hole						                                            Electronica	68452421	387	    1	        1	                10	        11	                1997	26.12.17 15:32	26.12.17 15:18	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Dig Your Own Hole:10 Where Do I Begin.aif
The Private Psychedelic Reel	The Chemical Brothers	Ed Simons/Tom Rowlands/Jonathan Donahue	Dig Your Own Hole						                                            Electronica	185650		        1	        1	                11          11	                1997	26.12.17 15:32	26.12.17 15:31			    							                    	                    	                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Dig Your Own Hole:11 The Private Psychedelic Reel.aif
