Name	                            Künstler	Komponist	                                            Album	    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Clash City Rockers	                The Clash	Joe Strummer/Paul Simonon/Topper Headon/Mick Jones	    The Clash						                                            Punk	42254327	237	    1	        1	                1	        15	                1979	30.12.17 17:50	30.12.17 17:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Clash:The Clash:01 Clash City Rockers.aif
I'm So Bored With The U.S.A.	    The Clash	Michael Jones/Joe Strummer	                            The Clash						                                            Punk	25959657	145	    1	        1	                2	        15	                1979	30.12.17 17:50	30.12.17 17:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Clash:The Clash:02 I'm So Bored With The U.S.A..aif
Remote Control	                    The Clash	Joe Strummer/Mick Jones	                                The Clash						                                            Punk	32375896	181	    1	        1	                3	        15	                1979	30.12.17 17:50	30.12.17 17:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Clash:The Clash:03 Remote Control.aif
Complete Control	                The Clash	Joe Strummer/Michael Jones	                            The Clash						                                            Punk	34640877	194	    1	        1	                4	        15	                1979	30.12.17 17:50	30.12.17 17:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Clash:The Clash:04 Complete Control.aif
White Riot [Single Version]	        The Clash	Joe Strummer/Michael Jones	                            The Clash						                                            Punk	21596696	120	    1	        1	                5	        15	                1979	30.12.17 17:50	30.12.17 17:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Clash:The Clash:05 White Riot [Single Version].aif
(White Man) In Hammersmith Palais	The Clash	Topper Headon/Paul Simonon/Mick Jones/Joe Strummer	    The Clash						                                            Punk	42755318	240	    1	        1	                6	        15	                1979	30.12.17 17:50	30.12.17 17:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Clash:The Clash:06 (White Man) In Hammersmith Palais.aif
London's Burning	                The Clash	Joe Strummer/Michael Jones	                            The Clash						                                            Punk	23391261	130	    1	        1	                7	        15	                1979	30.12.17 17:50	30.12.17 17:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Clash:The Clash:07 London's Burning.aif
I Fought The Law	                The Clash	Sonny Curtis	                                        The Clash						                                            Punk	28306927	158	    1	        1	                8	        15	                1979	30.12.17 17:50	30.12.17 17:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Clash:The Clash:08 I Fought The Law.aif
Janie Jones	                        The Clash	Nicholas Headon/Paul Simonon/Mick Jones/Joe Strummer	The Clash						                                            Punk	22521042	125	    1	        1	                9	        15	                1979	30.12.17 17:50	30.12.17 17:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Clash:The Clash:09 Janie Jones.aif
Career Opportunities	            The Clash	Michael Jones/Joe Strummer	                            The Clash						                                            Punk	20267812	113	    1	        1	                10	        15	                1979	30.12.17 17:50	30.12.17 17:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Clash:The Clash:10 Career Opportunities.aif
What's My Name	                    The Clash	Keith Levine/Michael Jones/Joe Strummer	                The Clash						                                            Punk	18165131	101	    1	        1	                11	        15	                1979	30.12.17 17:50	30.12.17 17:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Clash:The Clash:11 What's My Name.aif
Hate & War	                        The Clash	Michael Jones/Joe Strummer	                            The Clash						                                            Punk	22544538	125	    1	        1	                12	        15	                1979	30.12.17 17:50	30.12.17 17:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Clash:The Clash:12 Hate & War.aif
Police & Thieves	                The Clash	Junior Murvin/L. Perry	                                The Clash						                                            Punk	63892700	360	    1	        1	                13	        15	                1979	30.12.17 17:50	30.12.17 17:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Clash:The Clash:13 Police & Thieves.aif
Jail Guitar Doors	                The Clash	Joe Strummer/Mick Jones/Paul Simonon/Topper Headon	    The Clash						                                            Punk	32963929	185	    1	        1	                14	        15	                1979	30.12.17 17:50	30.12.17 17:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Clash:The Clash:14 Jail Guitar Doors.aif
Garageland	                        The Clash	Michael Jones/Joe Strummer	                            The Clash						                                            Punk	34304538	192	    1	        1	                15	        15	                1979	30.12.17 17:50	30.12.17 17:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Clash:The Clash:15 Garageland.aif
