Name	        Künstler	        Komponist	Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Trip Like I Do	The Crystal Method		        Vegas						                                            Electronica	80175191	454	    1	        1	                1	        12	                1997	26.12.17 13:12	26.12.17 13:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Crystal Method:Vegas:01 Trip Like I Do.aif
Busy Child	    The Crystal Method		        Vegas						                                            Electronica	78519379	444	    1	        1	                2	        12	                1997	26.12.17 13:12	26.12.17 13:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Crystal Method:Vegas:02 Busy Child.aif
Cherry Twist	The Crystal Method		        Vegas						                                            Electronica	46889685	265	    1	        1	                3	        12	                1997	26.12.17 13:12	26.12.17 13:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Crystal Method:Vegas:03 Cherry Twist.aif
High Roller	    The Crystal Method		        Vegas						                                            Electronica	58273364	330	    1	        1	                4	        12	                1997	26.12.17 13:12	26.12.17 13:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Crystal Method:Vegas:04 High Roller.aif
Comin' Back	    The Crystal Method		        Vegas						                                            Electronica	59825684	338	    1	        1	                5	        12	                1997	26.12.17 13:12	26.12.17 13:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Crystal Method:Vegas:05 Comin' Back.aif
Keep Hope Alive	The Crystal Method		        Vegas						                                            Electronica	65776248	372	    1	        1	                6	        12	                1997	26.12.17 13:12	26.12.17 13:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Crystal Method:Vegas:06 Keep Hope Alive.aif
Vapor Trail	    The Crystal Method		        Vegas						                                            Electronica	69132548	391	    1	        1	                7	        12	                1997	26.12.17 13:12	26.12.17 13:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Crystal Method:Vegas:07 Vapor Trail.aif
She's My Pusher	The Crystal Method		        Vegas						                                            Electronica	60267864	341	    1	        1	                8	        12	                1997	26.12.17 13:12	26.12.17 13:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Crystal Method:Vegas:08 She's My Pusher.aif
Jaded	        The Crystal Method		        Vegas						                                            Electronica	74831438	423	    1	        1	                9	        12	                1997	26.12.17 13:12	26.12.17 13:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Crystal Method:Vegas:09 Jaded.aif
Now Is The Time	The Crystal Method		        Vegas						                                            Electronica	63123193	357	    1	        1	                10	        12	                1997	26.12.17 13:12	26.12.17 13:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Crystal Method:Vegas:10 Now Is The Time.aif
Bad Stone	    The Crystal Method		        Vegas						                                            Electronica	54846499	310	    1	        1	                11	        12	                1997	26.12.17 13:12	26.12.17 13:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Crystal Method:Vegas:11 Bad Stone.aif
Can't You Trip	The Crystal Method		        Vegas						                                            Electronica	47383608	268	    1	        1	                12	        12	                1997	26.12.17 13:12	26.12.17 13:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Crystal Method:Vegas:12 Can't You Trip.aif
