Name	                                Künstler	                                Komponist	                        Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Starting Line	                        The Crystal Method	                        The Crystal Method	                Drive						                                            Electronica	21718381	122	    1	        1	                1	        14	                2006	26.12.17 13:32	26.12.17 13:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Drive:01 Starting Line.aif
It's Time	                            The Crystal Method	                        The Crystal Method	                Drive						                                            Electronica	51428841	291	    1	        1	                2	        14	                2006	26.12.17 13:32	26.12.17 13:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Drive:02 It's Time.aif
It Hertz	                            The Crystal Method	                        The Crystal Method	                Drive						                                            Electronica	56062280	317	    1	        1	                4	        14	                2006	26.12.17 13:32	26.12.17 13:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Drive:04 It Hertz.aif
Do It (Dub Pistols Mix)	                The Crystal Method	                        The Crystal Method/Tom Morello	    Drive						                                            Electronica	57245363	324	    1	        1	                5	        14	                2006	26.12.17 13:32	26.12.17 13:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Drive:05 Do It (Dub Pistols Mix).aif
Don't Stop	                            The Crystal Method	                        The Crystal Method	                Drive						                                            Electronica	52586026	297	    1	        1	                6	        14	                2006	26.12.17 13:32	26.12.17 13:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Drive:06 Don't Stop.aif
Brand New Kicks	                        The Crystal Method	                        The Crystal Method	                Drive						                                            Electronica	45320703	256	    1	        1	                7	        14	                2006	26.12.17 13:32	26.12.17 13:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Drive:07 Brand New Kicks.aif
Bad Ass (Rogue Element Mix)	            The Crystal Method	                        The Crystal Method	                Drive						                                            Electronica	57346491	324	    1	        1	                8	        14	                2006	26.12.17 13:32	26.12.17 13:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Drive:08 Bad Ass (Rogue Element Mix).aif
Finish Line	                            The Crystal Method	                        The Crystal Method	                Drive						                                            Electronica	11259036	63	    1	        1	                10	        14	                2006	26.12.17 13:32	26.12.17 13:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Drive:10 Finish Line.aif
It Hertz	                            The Crystal Method	                        The Crystal Method	                Drive						                                            Electronica	64835241	367	    1	        1	                11	        14	                2006	26.12.17 13:32	26.12.17 13:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Drive:11 It Hertz.aif
Don't Stop	                            The Crystal Method	                        The Crystal Method	                Drive						                                            Electronica	56821979	321	    1	        1	                12	        14	                2006	26.12.17 13:32	26.12.17 13:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Drive:12 Don't Stop.aif
Bad Ass (Rogue Element Mix)	            The Crystal Method	                        The Crystal Method	                Drive						                                            Electronica	74647804	422	    1	        1	                13	        14	                2006	26.12.17 13:32	26.12.17 13:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Drive:13 Bad Ass (Rogue Element Mix).aif
Glass Breaker (Force Mass Motion Mix)	The Crystal Method Feat. Charlotte Martin	The Crystal Method/Charlotte Martin	Drive						                                            Electronica	59042333	334	    1	        1	                9	        14	                2006	26.12.17 13:32	26.12.17 13:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Drive:09 Glass Breaker (Force Mass Motion Mix).aif
Glass Breaker (Force Mass Motion Mix)	The Crystal Method Feat. Charlotte Martin	Charlotte Martin/The Crystal Method	Drive						                                            Electronica	69753342	395	    1	        1	                14	        14	                2006	26.12.17 13:32	26.12.17 13:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Drive:14 Glass Breaker (Force Mass Motion Mix).aif
Roadhouse Blues (Original Dub)	        The Doors Vs. The Crystal Method	        Krieger/Densmore/Morrison/Manzarek	Drive						                                            Electronica	64529532	365	    1	        1	                3	        14	                2006	26.12.17 13:32	26.12.17 13:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Drive:03 Roadhouse Blues (Original Dub).aif
