Name	                    Künstler	    Komponist	Album	    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Seven Sisters	            The Moondog Show		    Evergreens						                                            Rock	36455077	206			                            1	        13	                2004	20.01.18 10:19	20.01.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Evergreens:01 Seven Sisters.aif
What She Said	            The Moondog Show		    Evergreens						                                            Rock	31014901	175			                            2	        13	                2004	20.01.18 10:19	20.01.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Evergreens:02 What She Said.aif
Better Times	            The Moondog Show		    Evergreens						                                            Rock	49774452	282			                            3	        13	                2004	20.01.18 10:19	20.01.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Evergreens:03 Better Times.aif
Moon Sun Stars	            The Moondog Show		    Evergreens						                                            Rock	28180742	159			                            4	        13	                2004	20.01.18 10:19	20.01.18 10:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Evergreens:04 Moon Sun Stars.aif
No One Is Driven To Tears	The Moondog Show		    Evergreens						                                            Rock	40359409	228			                            5	        13	                2004	20.01.18 10:19	20.01.18 10:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Evergreens:05 No One Is Driven To Tears.aif
So Hard To Let You Know	    The Moondog Show		    Evergreens						                                            Rock	44364863	251			                            6	        13	                2004	20.01.18 10:19	20.01.18 10:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Evergreens:06 So Hard To Let You Know.aif
My Jolie	                The Moondog Show		    Evergreens						                                            Rock	44374256	251			                            7	        13	                2004	20.01.18 10:19	20.01.18 10:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Evergreens:07 My Jolie.aif
Newborn	                    The Moondog Show		    Evergreens						                                            Rock	44870527	254			                            8	        13	                2004	20.01.18 10:19	20.01.18 10:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Evergreens:08 Newborn.aif
Baby Doll	                The Moondog Show		    Evergreens						                                            Rock	36459777	206			                            9	        13	                2004	20.01.18 10:19	20.01.18 10:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Evergreens:09 Baby Doll.aif
My Blue Book	            The Moondog Show		    Evergreens						                                            Rock	25165479	142			                            10	        13	                2004	20.01.18 10:19	20.01.18 10:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Evergreens:10 My Blue Book.aif
I Feel	                    The Moondog Show		    Evergreens						                                            Rock	46140609	261			                            11	        13	                2004	20.01.18 10:19	20.01.18 10:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Evergreens:11 I Feel.aif
Tune In	                    The Moondog Show		    Evergreens						                                            Rock	47097874	266			                            12	        13	                2004	20.01.18 10:19	20.01.18 10:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Evergreens:12 Tune In.aif
One Last Little Melody	    The Moondog Show		    Evergreens						                                            Rock	39529153	223			                            13	        13	                2004	20.01.18 10:19	20.01.18 10:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Evergreens:13 One Last Little Melody.aif
