Name	                    Künstler	        Komponist	Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Everything Is Free	        The Moondog Show		        Marfa						                                            Rock	43952945	249			                            1	        14	                2007	20.01.18 10:33	20.01.18 10:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Marfa:01 Everything Is Free.aif
Guitar-Shaped Swimming Pool	The Moondog Show		        Marfa						                                            Rock	38990234	220			                            2	        14	                2007	20.01.18 10:33	20.01.18 10:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Marfa:02 Guitar-Shaped Swimming Pool.aif
Armadillo	                The Moondog Show		        Marfa						                                            Rock	40582520	229			                            3	        14	                2007	20.01.18 10:33	20.01.18 10:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Marfa:03 Armadillo.aif
Tender	                    The Moondog Show		        Marfa						                                            Rock	24765317	140			                            4	        14	                2007	20.01.18 10:33	20.01.18 10:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Marfa:04 Tender.aif
Groovin'	                The Moondog Show		        Marfa						                                            Rock	33361879	189			                            5	        14	                2007	20.01.18 10:33	20.01.18 10:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Marfa:05 Groovin'.aif
Almost The Moon	            The Moondog Show		        Marfa						                                            Rock	31670798	179			                            6	        14	                2007	20.01.18 10:33	20.01.18 10:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Marfa:06 Almost The Moon.aif
Radioland	                The Moondog Show		        Marfa						                                            Rock	34824824	197			                            7	        14	                2007	20.01.18 10:33	20.01.18 10:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Marfa:07 Radioland.aif
Taxi	                    The Moondog Show		        Marfa						                                            Rock	29965587	169			                            8	        14	                2007	20.01.18 10:33	20.01.18 10:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Marfa:08 Taxi.aif
The Marfa Queen	            The Moondog Show		        Marfa						                                            Rock	34768382	196			                            9	        14	                2007	20.01.18 10:33	20.01.18 10:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Marfa:09 The Marfa Queen.aif
Paradise Right Here	        The Moondog Show		        Marfa						                                            Rock	34373253	194			                            10	        14	                2007	20.01.18 10:33	20.01.18 10:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Marfa:10 Paradise Right Here.aif
Flowers Grow	            The Moondog Show		        Marfa						                                            Rock	38432798	217			                            11	        14	                2007	20.01.18 10:33	20.01.18 10:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Marfa:11 Flowers Grow.aif
A Day Without A Plan	    The Moondog Show		        Marfa						                                            Rock	47259862	267			                            12	        14	                2007	20.01.18 10:33	20.01.18 10:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Marfa:12 A Day Without A Plan.aif
When The Spell Is Broken	The Moondog Show		        Marfa						                                            Rock	52293146	296			                            13	        14	                2007	20.01.18 10:33	20.01.18 10:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Marfa:13 When The Spell Is Broken.aif
The Content	                The Moondog Show		        Marfa						                                            Rock	35448109	200			                            14	        14	                2007	20.01.18 10:33	20.01.18 10:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Moondog Show:Marfa:14 The Content.aif
