Name	                Künstler	    Komponist	    Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Time To Relax	        The Offspring	Brian Holland	Smash						                                            Punk	4719869	    25	    1	        1	                1	        14	                1994	05.01.18 13:48	05.01.18 13:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Smash:01 Time To Relax.aif
Nitro (Youth Energy)	The Offspring	Brian Holland	Smash						                                            Punk	26118372	146	    1	        1	                2	        14	                1994	05.01.18 13:48	05.01.18 13:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Smash:02 Nitro (Youth Energy).aif
Bad Habit	            The Offspring	Brian Holland	Smash						                                            Punk	39687049	223	    1	        1	                3	        14	                1994	05.01.18 13:48	05.01.18 13:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Smash:03 Bad Habit.aif
Gotta Get Away	        The Offspring	Brian Holland	Smash						                                            Punk	41265246	232	    1	        1	                4	        14	                1994	05.01.18 13:48	05.01.18 13:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Smash:04 Gotta Get Away.aif
Genocide	            The Offspring	Brian Holland	Smash						                                            Punk	37664328	212	    1	        1	                5	        14	                1994	05.01.18 13:48	05.01.18 13:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Smash:05 Genocide.aif
Something To Believe In	The Offspring	Brian Holland	Smash						                                            Punk	35048919	197	    1	        1	                6	        14	                1994	05.01.18 13:48	05.01.18 13:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Smash:06 Something To Believe In.aif
Come Out And Play	    The Offspring	Brian Holland	Smash						                                            Punk	35084193	197	    1	        1	                7	        14	                1994	05.01.18 13:48	05.01.18 13:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Smash:07 Come Out And Play.aif
Self Esteem	            The Offspring	Brian Holland	Smash						                                            Punk	45675243	257	    1	        1	                8	        14	                1994	05.01.18 13:48	05.01.18 13:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Smash:08 Self Esteem.aif
It'll Be A Long Time	The Offspring	Brian Holland	Smash						                                            Punk	28992516	163	    1	        1	                9	        14	                1994	05.01.18 13:48	05.01.18 13:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Smash:09 It'll Be A Long Time.aif
Killboy Powerhead	    The Offspring	Rick Sims	    Smash						                                            Punk	21835376	122	    1	        1	                10	        14	                1994	05.01.18 13:48	05.01.18 13:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Smash:10 Killboy Powerhead.aif
What Happened To You?	The Offspring	Brian Holland	Smash						                                            Punk	23500600	132	    1	        1	                11	        14	                1994	05.01.18 13:48	05.01.18 13:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Smash:11 What Happened To You_.aif
So Alone	            The Offspring	Brian Holland	Smash						                                            Punk	13822107	77	    1	        1	                12	        14	                1994	05.01.18 13:48	05.01.18 13:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Smash:12 So Alone.aif
Not The One	            The Offspring	Brian Holland	Smash						                                            Punk	30951726	174	    1	        1	                13	        14	                1994	05.01.18 13:48	05.01.18 13:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Smash:13 Not The One.aif
Smash	                The Offspring	Brian Holland	Smash						                                            Punk	113123544	640	    1	        1	                14	        14	                1994	05.01.18 13:48	05.01.18 13:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Smash:14 Smash.aif
