Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Welcome,The Offspring,"Greg K, Noodles",Americana,,,,,,Punk,2036845,9,1,1,1,13,1998,"05.01.18, 14:03","05.01.18, 13:54",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Americana:01 Welcome.aif
Have You Ever,The Offspring,"Greg K, Noodles",Americana,,,,,,Punk,42086707,236,1,1,2,13,1998,"05.01.18, 14:03","05.01.18, 13:54",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Americana:02 Have You Ever.aif
Staring At The Sun,The Offspring,"Greg K, Noodles",Americana,,,,,,Punk,23882232,133,1,1,3,13,1998,"05.01.18, 14:03","05.01.18, 13:55",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Americana:03 Staring At The Sun.aif
Pretty Fly (For A White Guy),The Offspring,"Greg K, Noodles",Americana,,,,,,Punk,33607762,188,1,1,4,13,1998,"05.01.18, 14:03","05.01.18, 13:56",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Americana:04 Pretty Fly (For A White Guy).aif
The Kids Aren't Alright,The Offspring,"Greg K, Noodles",Americana,,,,,,Punk,32114237,180,1,1,5,13,1998,"05.01.18, 14:03","05.01.18, 13:56",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Americana:05 The Kids Aren't Alright.aif
Feelings,The Offspring,"Louise Felix, Marie Gaste, Maurice Alberto Kaiserman, Morris Albert",Americana,,,,,,Punk,30663090,171,1,1,6,13,1998,"05.01.18, 14:03","05.01.18, 13:57",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Americana:06 Feelings.aif
She's Got Issues,The Offspring,"Greg K, Noodles",Americana,,,,,,Punk,40656694,228,1,1,7,13,1998,"05.01.18, 14:03","05.01.18, 13:57",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Americana:07 She's Got Issues.aif
Walla Walla,The Offspring,"Greg K, Noodles",Americana,,,,,,Punk,31561505,177,1,1,8,13,1998,"05.01.18, 14:03","05.01.18, 13:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Americana:08 Walla Walla.aif
The End Of The Line,The Offspring,"Greg K, Noodles",Americana,,,,,,Punk,32509369,182,1,1,9,13,1998,"05.01.18, 14:03","05.01.18, 13:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Americana:09 The End Of The Line.aif
No Brakes,The Offspring,"Greg K, Noodles",Americana,,,,,,Punk,22212306,124,1,1,10,13,1998,"05.01.18, 14:03","05.01.18, 13:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Americana:10 No Brakes.aif
Why Don't You Get A Job?,The Offspring,"Greg K, Noodles",Americana,,,,,,Punk,30743025,172,1,1,11,13,1998,"05.01.18, 14:03","05.01.18, 13:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Americana:11 Why Don't You Get A Job_.aif
Americana,The Offspring,"Greg K, Noodles",Americana,,,,,,Punk,34760226,195,1,1,12,13,1998,"05.01.18, 14:03","05.01.18, 13:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Americana:12 Americana.aif
Pay The Man,The Offspring,"Greg K, Noodles",Americana,,,,,,Punk,109567940,619,1,1,13,13,1998,"05.01.18, 14:03","05.01.18, 14:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Americana:13 Pay The Man.aif
