Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Intro,The Offspring,The Offspring,Conspiracy Of One,,,,,,Punk,982068,5,1,1,1,14,2000,"05.01.18, 14:54","05.01.18, 14:46",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Conspiracy Of One:01 Intro.aif
Come Out Swinging,The Offspring,The Offspring,Conspiracy Of One,,,,,,Punk,29568288,167,1,1,2,14,2000,"05.01.18, 14:54","05.01.18, 14:46",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Conspiracy Of One:02 Come Out Swinging.aif
Want You Bad,The Offspring,The Offspring,Conspiracy Of One,,,,,,Punk,35805787,202,1,1,4,14,2000,"05.01.18, 14:54","05.01.18, 14:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Conspiracy Of One:04 Want You Bad.aif
Million Miles Away,The Offspring,The Offspring,Conspiracy Of One,,,,,,Punk,38839873,219,1,1,5,14,2000,"05.01.18, 14:54","05.01.18, 14:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Conspiracy Of One:05 Million Miles Away.aif
"Dammit, I Changed Again",The Offspring,The Offspring,Conspiracy Of One,,,,,,Punk,29862294,168,1,1,6,14,2000,"05.01.18, 14:54","05.01.18, 14:49",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Conspiracy Of One:06 Dammit, I Changed Again.aif"
Living In Chaos,The Offspring,The Offspring,Conspiracy Of One,,,,,,Punk,36817150,208,1,1,7,14,2000,"05.01.18, 14:54","05.01.18, 14:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Conspiracy Of One:07 Living In Chaos.aif
Special Delivery,The Offspring,The Offspring,Conspiracy Of One,,,,,,Punk,31901471,180,1,1,8,14,2000,"05.01.18, 14:54","05.01.18, 14:50",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Conspiracy Of One:08 Special Delivery.aif
One Fine Day,The Offspring,The Offspring,Conspiracy Of One,,,,,,Punk,29201371,165,1,1,9,14,2000,"05.01.18, 14:54","05.01.18, 14:50",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Conspiracy Of One:09 One Fine Day.aif
All Along,The Offspring,The Offspring,Conspiracy Of One,,,,,,Punk,17467241,98,1,1,10,14,2000,"05.01.18, 14:54","05.01.18, 14:51",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Conspiracy Of One:10 All Along.aif
"Denial, Revisited",The Offspring,The Offspring,Conspiracy Of One,,,,,,Punk,48184369,272,1,1,11,14,2000,"05.01.18, 14:54","05.01.18, 14:51",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Conspiracy Of One:11 Denial, Revisited.aif"
Vultures,The Offspring,The Offspring,Conspiracy Of One,,,,,,Punk,37852024,214,1,1,12,14,2000,"05.01.18, 14:54","05.01.18, 14:52",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Conspiracy Of One:12 Vultures.aif
Conspiracy Of One,The Offspring,The Offspring,Conspiracy Of One,,,,,,Punk,24238657,137,1,1,13,14,2000,"05.01.18, 14:54","05.01.18, 14:52",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Conspiracy Of One:13 Conspiracy Of One.aif
Huck It,The Offspring,The Offspring,Conspiracy Of One,,,,,,Punk,28093575,158,1,1,14,14,2000,"05.01.18, 14:54","05.01.18, 14:53",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Conspiracy Of One:14 Huck It.aif
Original Prankster,The Offspring Feat. Redman,The Offspring,Conspiracy Of One,,,,,,Punk,39044510,220,1,1,3,14,2000,"05.01.18, 14:54","05.01.18, 14:47",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Conspiracy Of One:03 Original Prankster.aif
