Name	                        Künstler	    Komponist	Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Neocon	                        The Offspring		        Splinter						                                        Punk	11764592	66	    1	        1	                1	        12	                2003	05.01.18 15:19	05.01.18 15:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Splinter:01 Neocon.aif
The Noose	                    The Offspring		        Splinter						                                        Punk	35056451	198	    1	        1	                2	        12	                2003	05.01.18 15:20	05.01.18 15:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Splinter:02 The Noose.aif
Long Way Home	                The Offspring		        Splinter						                                        Punk	25300359	143	    1	        1	                3	        12	                2003	05.01.18 15:20	05.01.18 15:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Splinter:03 Long Way Home.aif
Hit That	                    The Offspring		        Splinter						                                        Punk	29886754	169	    1	        1	                4	        12	                2003	05.01.18 15:21	05.01.18 15:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Splinter:04 Hit That.aif
Race Against Myself	            The Offspring		        Splinter						                                        Punk	37429629	212	    1	        1	                5	        12	                2003	05.01.18 15:21	05.01.18 15:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Splinter:05 Race Against Myself.aif
(Can't Get My) Head Around You	The Offspring		        Splinter						                                        Punk	23773928	134	    1	        1	                6	        12	                2003	05.01.18 15:22	05.01.18 15:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Splinter:06 (Can't Get My) Head Around You.aif
The Worst Hangover Ever	        The Offspring		        Splinter						                                        Punk	31413217	178	    1	        1	                7	        12	                2003	05.01.18 15:22	05.01.18 15:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Splinter:07 The Worst Hangover Ever.aif
Never Gonna Find Me	            The Offspring		        Splinter						                                        Punk	28040445	158	    1	        1	                8	        12	                2003	05.01.18 15:23	05.01.18 15:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Splinter:08 Never Gonna Find Me.aif
Lightning Rod	                The Offspring		        Splinter						                                        Punk	35359863	200	    1	        1	                9	        12	                2003	05.01.18 15:24	05.01.18 15:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Splinter:09 Lightning Rod.aif
Spare Me The Details	        The Offspring		        Splinter						                                        Punk	36030191	204	    1	        1	                10	        12	                2003	05.01.18 15:24	05.01.18 15:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Splinter:10 Spare Me The Details.aif
Da Hui	                        The Offspring		        Splinter						                                        Punk	18027969	102	    1	        1	                11	        12	                2003	05.01.18 15:25	05.01.18 15:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Splinter:11 Da Hui.aif
When You're In Prison	        The Offspring		        Splinter						                                        Punk	27003216	153	    1	        1	                12	        12	                2003	05.01.18 15:25	05.01.18 15:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Offspring:Splinter:12 When You're In Prison.aif
