Name	                        Künstler	                                Komponist	Album	                    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
It Was Supposed To Be So Easy	The Streets	Mike Skinner	                            A Grand Don't Come For Free						                                            Rap	    41664639	235	    1	        1	                1	        11	                2004	21.01.18 09:20	21.01.18 09:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Grand Don't Come For Free:01 It Was Supposed To Be So Easy.aif
Could Well Be In	            The Streets	Mike Skinner	                            A Grand Don't Come For Free						                                            Rap	    46554434	263	    1	        1	                2	        11	                2004	21.01.18 09:20	21.01.18 09:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Grand Don't Come For Free:02 Could Well Be In.aif
Not Addicted	                The Streets	Mike Skinner	                            A Grand Don't Come For Free						                                            Rap	    38893966	220	    1	        1	                3	        11	                2004	21.01.18 09:20	21.01.18 09:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Grand Don't Come For Free:03 Not Addicted.aif
Blinded By The Lights	        The Streets	Mike Skinner	                            A Grand Don't Come For Free						                                            Rap	    50254135	284	    1	        1	                4	        11	                2004	21.01.18 09:20	21.01.18 09:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Grand Don't Come For Free:04 Blinded By The Lights.aif
Wouldn't Have It Any Other Way	The Streets	Mike Skinner	                            A Grand Don't Come For Free						                                            Rap	    48767680	276	    1	        1	                5	        11	                2004	21.01.18 09:20	21.01.18 09:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Grand Don't Come For Free:05 Wouldn't Have It Any Other Way.aif
Fit But You Know It	            The Streets	Mike Skinner	                            A Grand Don't Come For Free						                                            Rap	    44903333	254	    1	        1	                7	        11	                2004	21.01.18 09:20	21.01.18 09:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Grand Don't Come For Free:07 Fit But You Know It.aif
Such A Twat	                    The Streets	Mike Skinner	                            A Grand Don't Come For Free						                                            Rap	    40199325	227	    1	        1	                8	        11	                2004	21.01.18 09:20	21.01.18 09:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Grand Don't Come For Free:08 Such A Twat.aif
Dry Your Eyes	                The Streets	Mike Skinner	                            A Grand Don't Come For Free						                                            Rap	    47897424	271	    1	        1	                10	        11	                2004	21.01.18 09:20	21.01.18 09:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Grand Don't Come For Free:10 Dry Your Eyes.aif
Empty Cans	                    The Streets	Mike Skinner	                            A Grand Don't Come For Free						                                            Rap	    87349869	494	    1	        1	                11	        11	                2004	21.01.18 09:20	21.01.18 09:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Grand Don't Come For Free:11 Empty Cans.aif
Get Out Of My House	            The Streets Feat. MC C-Mone	Mike Skinner	            A Grand Don't Come For Free						                                            Rap	    41010789	232	    1	        1	                6	        11	                2004	21.01.18 09:20	21.01.18 09:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Grand Don't Come For Free:06 Get Out Of My House.aif
What Is He Thinking?	        The Streets Feat. Wayney G	Mike Skinner	            A Grand Don't Come For Free						                                            Rap	    49588533	280	    1	        1	                9	        11	                2004	21.01.18 09:20	21.01.18 09:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Grand Don't Come For Free:09 What Is He Thinking_.aif
