Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Countdown,The Splashdowns,,The Space Act,,,,,,Surf,29828628,166,,,1,28,,"19.08.18, 10:58","19.08.18, 10:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Space Act:01 Countdown.aif
Happy Lift Off,The Splashdowns,,The Space Act,,,,,,Surf,23052521,128,,,2,28,,"19.08.18, 10:58","19.08.18, 10:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Space Act:02 Happy Lift Off.aif
Gravity Problems,The Splashdowns,,The Space Act,,,,,,Surf,13496347,74,,,3,28,,"19.08.18, 10:58","19.08.18, 10:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Space Act:03 Gravity Problems.aif
Swing-By Technique,The Splashdowns,,The Space Act,,,,,,Surf,20392413,113,,,4,28,,"19.08.18, 10:58","19.08.18, 10:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Space Act:04 Swing-By Technique.aif
Eletronic Mannequin,The Splashdowns,,The Space Act,,,,,,Surf,35087710,196,,,5,28,,"19.08.18, 10:58","19.08.18, 10:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Space Act:05 Eletronic Mannequin.aif
LOR Or EOR,The Splashdowns,,The Space Act,,,,,,Surf,23499397,130,,,6,28,,"19.08.18, 10:58","19.08.18, 10:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Space Act:06 LOR Or EOR.aif
Luna Rover Test Ride,The Splashdowns,,The Space Act,,,,,,Surf,19044719,105,,,7,28,,"19.08.18, 10:58","19.08.18, 10:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Space Act:07 Luna Rover Test Ride.aif
Ranger 1,The Splashdowns,,The Space Act,,,,,,Surf,19846739,110,,,8,28,,"19.08.18, 10:58","19.08.18, 10:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Space Act:08 Ranger 1.aif
Apollo 8,The Splashdowns,,The Space Act,,,,,,Surf,24106211,134,,,9,28,,"19.08.18, 10:58","19.08.18, 10:50",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Space Act:09 Apollo 8.aif
Slingshot Manoevre,The Splashdowns,,The Space Act,,,,,,Surf,12781342,70,,,10,28,,"19.08.18, 10:58","19.08.18, 10:50",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The Space Act:10 Slingshot Manoevre.aif
