Name	                        Künstler	    Komponist	Album	                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Ein Mann ein Pferd	            The Typhoons		        14 Ways to Catch a Wave						                                            Surf	28308370	158	    1	        1	                1	        12	                2018	19.08.18 10:13	19.08.18 10:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:14 Ways to Catch a Wave:01 Ein Mann ein Pferd.aif
El Avispon	                    The Typhoons		        14 Ways to Catch a Wave						                                            Surf	27257018	153	    1	        1	                2	        12	                2018	19.08.18 10:13	19.08.18 10:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:14 Ways to Catch a Wave:02 El Avispon.aif
El Nino	                        The Typhoons		        14 Ways to Catch a Wave						                                            Surf	33478055	188	    1	        1	                3	        12	                2018	19.08.18 10:13	19.08.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:14 Ways to Catch a Wave:03 El Nino.aif
La Paloma	                    The Typhoons		        14 Ways to Catch a Wave						                                            Surf	40672825	229	    1	        1	                4	        12	                2018	19.08.18 10:13	19.08.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:14 Ways to Catch a Wave:04 La Paloma.aif
Mr. Moto	                    The Typhoons		        14 Ways to Catch a Wave						                                            Surf	21939144	122	    1	        1	                5	        12	                2018	19.08.18 10:13	19.08.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:14 Ways to Catch a Wave:05 Mr. Moto.aif
Nasa'll Get It	                The Typhoons		        14 Ways to Catch a Wave						                                            Surf	26466750	148	    1	        1	                6	        12	                2018	19.08.18 10:13	19.08.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:14 Ways to Catch a Wave:06 Nasa'll Get It.aif
Sputnik Thema	                The Typhoons		        14 Ways to Catch a Wave						                                            Surf	21826253	122	    1	        1	                7	        12	                2018	19.08.18 10:13	19.08.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:14 Ways to Catch a Wave:07 Sputnik Thema.aif
Sunday Girl	                    The Typhoons		        14 Ways to Catch a Wave						                                            Surf	31683483	178	    1	        1	                8	        12	                2018	19.08.18 10:13	19.08.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:14 Ways to Catch a Wave:08 Sunday Girl.aif
The Happy Surfer	            The Typhoons		        14 Ways to Catch a Wave						                                            Surf	23903072	134	    1	        1	                9	        12	                2018	19.08.18 10:13	19.08.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:14 Ways to Catch a Wave:09 The Happy Surfer.aif
The Typhoons - The Undead Rider	The Typhoons		        14 Ways to Catch a Wave						                                            Surf	28898736	162	    1	        1	                10	        12	                2018	19.08.18 10:13	19.08.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:14 Ways to Catch a Wave:10 The Typhoons - The Undead Rider.aif
Touchdown	                    The Typhoons		        14 Ways to Catch a Wave						                                            Surf	26407946	148	    1	        1	                11	        12	                2018	19.08.18 10:13	19.08.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:14 Ways to Catch a Wave:11 Touchdown.aif
Ulysses	                        The Typhoons		        14 Ways to Catch a Wave						                                            Surf	40903320	230	    1	        1	                12	        12	                2018	19.08.18 10:13	19.08.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:14 Ways to Catch a Wave:12 Ulysses.aif
