Name	            Künstler	    Komponist	    Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Finish Line Fever	The Volcanos	The Volcanos	Finish Line Fever						                                            Surf	27611915	156	    1	        1	                1	        14	                1998	06.01.18 10:04	06.01.18 09:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Volcanos:Finish Line Fever:01 Finish Line Fever.aif
Doheny Dawn     	The Volcanos	The Volcanos	Finish Line Fever						                                            Surf	28185797	159	    1	        1	                2	        14	                1998	06.01.18 10:04	06.01.18 09:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Volcanos:Finish Line Fever:02 Doheny Dawn.aif
San Andreas Fault	The Volcanos	The Volcanos	Finish Line Fever						                                            Surf	34992491	198	    1	        1	                3	        14	                1998	06.01.18 10:04	06.01.18 09:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Volcanos:Finish Line Fever:03 San Andreas Fault.aif
Brand New Board	    The Volcanos	The Volcanos	Finish Line Fever						                                            Surf	35681625	202	    1	        1	                4	        14	                1998	06.01.18 10:04	06.01.18 09:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Volcanos:Finish Line Fever:04 Brand New Board.aif
Avalanche	        The Volcanos	The Volcanos	Finish Line Fever						                                            Surf	34079907	193	    1	        1	                5	        14	                1998	06.01.18 10:04	06.01.18 09:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Volcanos:Finish Line Fever:05 Avalanche.aif
Maverick	        The Volcanos	The Volcanos	Finish Line Fever						                                            Surf	28404530	160	    1	        1	                6	        14	                1998	06.01.18 10:04	06.01.18 09:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Volcanos:Finish Line Fever:06 Maverick.aif
Pit Stop	        The Volcanos	The Volcanos	Finish Line Fever						                                            Surf	31558562	178	    1	        1	                7	        14	                1998	06.01.18 10:04	06.01.18 10:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Volcanos:Finish Line Fever:07 Pit Stop.aif
Riverside Run	    The Volcanos	The Volcanos	Finish Line Fever						                                            Surf	31123447	176	    1	        1	                8	        14	                1998	06.01.18 10:04	06.01.18 10:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Volcanos:Finish Line Fever:08 Riverside Run.aif
Custom Cruiser	    The Volcanos	The Volcanos	Finish Line Fever						                                            Surf	29382968	166	    1	        1	                9	        14	                1998	06.01.18 10:04	06.01.18 10:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Volcanos:Finish Line Fever:09 Custom Cruiser.aif
Wave Beat	        The Volcanos	The Volcanos	Finish Line Fever						                                            Surf	27597798	156	    1	        1	                10	        14	                1998	06.01.18 10:04	06.01.18 10:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Volcanos:Finish Line Fever:10 Wave Beat.aif
Kilauea	            The Volcanos	The Volcanos	Finish Line Fever						                                            Surf	34235140	193	    1	        1	                11	        14	                1998	06.01.18 10:04	06.01.18 10:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Volcanos:Finish Line Fever:11 Kilauea.aif
War Drums	        The Volcanos	The Volcanos	Finish Line Fever						                                            Surf	31438614	178	    1	        1	                12	        14	                1998	06.01.18 10:04	06.01.18 10:01	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Volcanos:Finish Line Fever:12 War Drums.aif
Pompeii	            The Volcanos	The Volcanos	Finish Line Fever						                                            Surf	23940436	135	    1	        1	                13	        14	                1998	06.01.18 10:04	06.01.18 10:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Volcanos:Finish Line Fever:13 Pompeii.aif
Theme From Action	The Volcanos	The Volcanos	Finish Line Fever						                                            Surf	17902862	101	    1	        1	                14	        14	                1998	06.01.18 10:04	06.01.18 10:02	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Volcanos:Finish Line Fever:14 Theme From Action.aif
