Name	                        Künstler	Komponist	Album	                                                    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Screamager	                    Therapy?		        So Much For The Ten Year Plan: A Retrospective 1990-2000						                                            Grunge	28451635	161	    1	        1	                1	        16	                2000	13.01.18 10:39	13.01.18 10:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:T:Therapy:Therapy_2000_So Much for the 10 Year Plan :01 Screamager.aif
Bad Karma Follows You Around	Therapy?		        So Much For The Ten Year Plan: A Retrospective 1990-2000						                                            Grunge	43553845	246	    1	        1	                2	        16	                2000	13.01.18 10:39	13.01.18 10:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:T:Therapy:Therapy_2000_So Much for the 10 Year Plan :02 Bad Karma Follows You Around.aif
Die Laughing	                Therapy?		        So Much For The Ten Year Plan: A Retrospective 1990-2000						                                            Grunge	29698197	168	    1	        1	                3	        16	                1994	13.01.18 10:39	13.01.18 10:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:T:Therapy:Therapy_2000_So Much for the 10 Year Plan :03 Die Laughing.aif
Meat Abstract	                Therapy?		        So Much For The Ten Year Plan: A Retrospective 1990-2000						                                            Grunge	39990550	226	    1	        1	                4	        16	                2000	13.01.18 10:39	13.01.18 10:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:T:Therapy:Therapy_2000_So Much for the 10 Year Plan :04 Meat Abstract.aif
Straight Life	                Therapy?		        So Much For The Ten Year Plan: A Retrospective 1990-2000						                                            Grunge	18909574	107	    1	        1	                5	        16	                2000	13.01.18 10:39	13.01.18 10:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:T:Therapy:Therapy_2000_So Much for the 10 Year Plan :05 Straight Life.aif
Teethgrinder	                Therapy?		        So Much For The Ten Year Plan: A Retrospective 1990-2000						                                            Grunge	15205173	86	    1	        1	                6	        16	                2000	13.01.18 10:39	13.01.18 10:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:T:Therapy:Therapy_2000_So Much for the 10 Year Plan :06 Teethgrinder.aif
Fat Camp	                    Therapy?		        So Much For The Ten Year Plan: A Retrospective 1990-2000						                                            Grunge	47599265	269	    1	        1	                7	        16	                2000	13.01.18 10:39	13.01.18 10:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:T:Therapy:Therapy_2000_So Much for the 10 Year Plan :07 Fat Camp.aif
Stories	                        Therapy?		        So Much For The Ten Year Plan: A Retrospective 1990-2000						                                            Grunge	30422608	172	    1	        1	                8	        16	                2000	13.01.18 10:39	13.01.18 10:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:T:Therapy:Therapy_2000_So Much for the 10 Year Plan :08 Stories.aif
Nausea	                        Therapy?		        So Much For The Ten Year Plan: A Retrospective 1990-2000						                                            Grunge	41676927	236	    1	        1	                9	        16	                2000	13.01.18 10:39	13.01.18 10:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:T:Therapy:Therapy_2000_So Much for the 10 Year Plan :09 Nausea.aif
Six Mile Water	                Therapy?		        So Much For The Ten Year Plan: A Retrospective 1990-2000						                                            Grunge	67055016	379	    1	        1	                10	        16	                2000	13.01.18 10:39	13.01.18 10:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:rippen:AIFFs:T:Therapy:Therapy_2000_So Much for the 10 Year Plan :10 Six Mile Water.aif
