Name	            Künstler	Komponist	Album	    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Gimme Back My Brain	Therapy?		        Shameless						                                            Grunge	27704077	156	    1	        1	                1	        12	                2001	13.01.18 10:54	13.01.18 10:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Shameless:01 Gimme Back My Brain.aif
Dance	            Therapy?		        Shameless						                                            Grunge	43102607	243	    1	        1	                2	        12	                2001	13.01.18 10:54	13.01.18 10:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Shameless:02 Dance.aif
This One's For You	Therapy?		        Shameless						                                            Grunge	39910956	225	    1	        1	                3	        12	                2001	13.01.18 10:54	13.01.18 10:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Shameless:03 This One's For You.aif
I Am The Money	    Therapy?		        Shameless						                                            Grunge	36225368	204	    1	        1	                4	        12	                2001	13.01.18 10:54	13.01.18 10:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Shameless:04 I Am The Money.aif
Wicked Man	        Therapy?		        Shameless						                                            Grunge	40216708	227	    1	        1	                5	        12	                2001	13.01.18 10:54	13.01.18 10:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Shameless:05 Wicked Man.aif
Theme From Delorean	Therapy?		        Shameless						                                            Grunge	49017901	277	    1	        1	                6	        12	                2001	13.01.18 10:54	13.01.18 10:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Shameless:06 Theme From Delorean.aif
Joey	            Therapy?		        Shameless						                                            Grunge	42705118	241	    1	        1	                7	        12	                2001	13.01.18 10:54	13.01.18 10:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Shameless:07 Joey.aif
Endless Psychology	Therapy?		        Shameless						                                            Grunge	41404476	234	    1	        1	                8	        12	                2001	13.01.18 10:54	13.01.18 10:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Shameless:08 Endless Psychology.aif
Alrite	            Therapy?		        Shameless						                                            Grunge	26822064	151	    1	        1	                9	        12	                2001	13.01.18 10:54	13.01.18 10:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Shameless:09 Alrite.aif
Body Bag Girl	    Therapy?		        Shameless						                                            Grunge	36347674	205	    1	        1	                10	        12	                2001	13.01.18 10:54	13.01.18 10:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Shameless:10 Body Bag Girl.aif
Tango Romeo	        Therapy?		        Shameless						                                            Grunge	32231672	182	    1	        1	                11	        12	                2001	13.01.18 10:54	13.01.18 10:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Shameless:11 Tango Romeo.aif
Stalk & Slash	    Therapy?		        Shameless						                                            Grunge	25504954	144	    1	        1	                12	        12	                2001	13.01.18 10:54	13.01.18 10:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Shameless:12 Stalk & Slash.aif
