Name	            Künstler	Komponist	Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Hey Satan-You Rock	Therapy?	Dr. E	    High Anxiety						                                            Grunge	33299600	188	    1	        1	                1	        11	                2003	13.01.18 11:16	13.01.18 11:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:High Anxiety:01 Hey Satan-You Rock.aif
Who Knows	        Therapy?	Dr. E	    High Anxiety						                                            Grunge	30065591	170	    1	        1	                2	        11	                2003	13.01.18 11:16	13.01.18 11:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:High Anxiety:02 Who Knows.aif
Stand In Line	    Therapy?	Dr. E	    High Anxiety						                                            Grunge	35512827	200	    1	        1	                3	        11	                2003	13.01.18 11:16	13.01.18 11:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:High Anxiety:03 Stand In Line.aif
Nobody Here But Us	Therapy?	Dr. E	    High Anxiety						                                            Grunge	36747632	207	    1	        1	                4	        11	                2003	13.01.18 11:16	13.01.18 11:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:High Anxiety:04 Nobody Here But Us.aif
Watch You Go	    Therapy?	Dr. E	    High Anxiety						                                            Grunge	23736362	134	    1	        1	                5	        11	                2003	13.01.18 11:16	13.01.18 11:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:High Anxiety:05 Watch You Go.aif
If It Kills Me	    Therapy?	Dr. E	    High Anxiety						                                            Grunge	38859724	219	    1	        1	                6	        11	                2003	13.01.18 11:16	13.01.18 11:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:High Anxiety:06 If It Kills Me.aif
Not In Any Name	    Therapy?	Dr. E	    High Anxiety						                                            Grunge	35863277	202	    1	        1	                7	        11	                2003	13.01.18 11:16	13.01.18 11:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:High Anxiety:07 Not In Any Name.aif
My Voodoo Doll	    Therapy?	Dr. E	    High Anxiety						                                            Grunge	24046828	135	    1	        1	                8	        11	                2003	13.01.18 11:16	13.01.18 11:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:High Anxiety:08 My Voodoo Doll.aif
Limbo	            Therapy?	Dr. E	    High Anxiety						                                            Grunge	31681411	179	    1	        1	                9	        11	                2003	13.01.18 11:16	13.01.18 11:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:High Anxiety:09 Limbo.aif
Last Blast	        Therapy?	Dr. E	    High Anxiety						                                            Grunge	36140811	204	    1	        1	                10	        11	                2003	13.01.18 11:16	13.01.18 11:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:High Anxiety:10 Last Blast.aif
Rust	            Therapy?	Dr. E	    High Anxiety						                                            Grunge	104010117	589	    1	        1	                11	        11	                2003	13.01.18 11:16	13.01.18 11:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:High Anxiety:11 Rust.aif
