Name	                        Künstler	Komponist	    Album	                        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Rise Up (Make Yourself Well)	Therapy?	Dr. E/Therapy?	Never Apologise Never Explain						                                            Grunge	29835918	168	    1	        1	                1	        13	                2004	13.01.18 11:33	13.01.18 11:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Never Apologise Never Explain:01 Rise Up (Make Yourself Well).aif
Die Like A Motherfucker	        Therapy?	Dr. E/Therapy?	Never Apologise Never Explain						                                            Grunge	28636393	161	    1	        1	                2	        13	                2004	13.01.18 11:33	13.01.18 11:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Never Apologise Never Explain:02 Die Like A Motherfucker.aif
Perish The Throught	            Therapy?	Dr. E/Therapy?	Never Apologise Never Explain						                                            Grunge	38971077	220	    1	        1	                3	        13	                2004	13.01.18 11:33	13.01.18 11:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Never Apologise Never Explain:03 Perish The Throught.aif
Here Be Monsters	            Therapy?	Dr. E/Therapy?	Never Apologise Never Explain						                                            Grunge	29120898	164	    1	        1	                4	        13	                2004	13.01.18 11:33	13.01.18 11:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Never Apologise Never Explain:04 Here Be Monsters.aif
So-Called Life	                Therapy?	Dr. E/Therapy?	Never Apologise Never Explain						                                            Grunge	33556768	189	    1	        1	                5	        13	                2004	13.01.18 11:33	13.01.18 11:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Never Apologise Never Explain:05 So-Called Life.aif
Panic	                        Therapy?	Dr. E/Therapy?	Never Apologise Never Explain						                                            Grunge	21735607	122	    1	        1	                6	        13	                2004	13.01.18 11:33	13.01.18 11:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Never Apologise Never Explain:06 Panic.aif
Polar Bear	                    Therapy?	Dr. E/Therapy?	Never Apologise Never Explain						                                            Grunge	38834652	219	    1	        1	                7	        13	                2004	13.01.18 11:33	13.01.18 11:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Never Apologise Never Explain:07 Polar Bear.aif
Rock You Monkeys	            Therapy?	Dr. E/Therapy?	Never Apologise Never Explain						                                            Grunge	32872338	185	    1	        1	                8	        13	                2004	13.01.18 11:33	13.01.18 11:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Never Apologise Never Explain:08 Rock You Monkeys.aif
Dead	                        Therapy?	Dr. E/Therapy?	Never Apologise Never Explain						                                            Grunge	27766134	157	    1	        1	                9	        13	                2004	13.01.18 11:33	13.01.18 11:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Never Apologise Never Explain:09 Dead.aif
Long Distance	                Therapy?	Dr. E/Therapy?	Never Apologise Never Explain						                                            Grunge	37402290	211	    1	        1	                10	        13	                2004	13.01.18 11:33	13.01.18 11:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Never Apologise Never Explain:10 Long Distance.aif
This Ship Is Sinking	        Therapy?	Dr. E/Therapy?	Never Apologise Never Explain						                                            Grunge	34967977	197	    1	        1	                11	        13	                2004	13.01.18 11:33	13.01.18 11:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Never Apologise Never Explain:11 This Ship Is Sinking.aif
Save The Sermon	                Therapy?	Dr. E/Therapy?	Never Apologise Never Explain						                                            Grunge	32319620	182	    1	        1	                12	        13	                2004	13.01.18 11:33	13.01.18 11:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Never Apologise Never Explain:12 Save The Sermon.aif
Last One To Heaven's A Loser	Therapy?	Dr. E/Therapy?	Never Apologise Never Explain						                                            Grunge	35753553	202	    1	        1	                13	        13	                2004	13.01.18 11:33	13.01.18 11:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Therapy_:Never Apologise Never Explain:13 Last One To Heaven's A Loser.aif
