Name	            Künstler	        Komponist	        Album	                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Into China	        Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	11003288	61	    1	        1	                1	        16	                2003	06.01.18 09:29	06.01.18 09:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:01 Into China.aif
Shark Next Door	    Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	22871485	129	    1	        1	                2	        16	                2003	06.01.18 09:29	06.01.18 09:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:02 Shark Next Door.aif
Exotica	            Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	23410085	132	    1	        1	                3	        16	                2003	06.01.18 09:29	06.01.18 09:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:03 Exotica.aif
Night of Tiki	    Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	30313211	171	    1	        1	                4	        16	                2003	06.01.18 09:29	06.01.18 09:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:04 Night of Tiki.aif
Converse	        Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	17518326	98	    1	        1	                5	        16	                2003	06.01.18 09:29	06.01.18 09:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:05 Converse.aif
Go Tiki Go!	        Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	26879289	151	    1	        1	                6	        16	                2003	06.01.18 09:29	06.01.18 09:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:06 Go Tiki Go!.aif
Everybody Says	    Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	30936492	174	    1	        1	                7	        16	                2003	06.01.18 09:29	06.01.18 09:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:07 Everybody Says.aif
Bamboo Beach	    Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	37235146	210	    1	        1	                8	        16	                2003	06.01.18 09:29	06.01.18 09:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:08 Bamboo Beach.aif
Jumpin' Hula Flash	Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	34549168	195	    1	        1	                9	        16	                2003	06.01.18 09:29	06.01.18 09:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:09 Jumpin' Hula Flash.aif
U-Ha	            Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	31804371	179	    1	        1	                10	        16	                2003	06.01.18 09:29	06.01.18 09:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:10 U-Ha.aif
Stop & Go	        Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	37009352	209	    1	        1	                11	        16	                2003	06.01.18 09:29	06.01.18 09:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:11 Stop & Go.aif
Born to Love You	Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	33307311	188	    1	        1	                12	        16	                2003	06.01.18 09:29	06.01.18 09:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:12 Born to Love You.aif
Tsunami Roll	    Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	33848267	191	    1	        1	                13	        16	                2003	06.01.18 09:29	06.01.18 09:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:13 Tsunami Roll.aif
Yeah from Miyaji	Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	24630783	139	    1	        1	                14	        16	                2003	06.01.18 09:29	06.01.18 09:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:14 Yeah from Miyaji.aif
Misalu	            Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	46029269	260	    1	        1	                15	        16	                2003	06.01.18 09:29	06.01.18 09:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:15 Misalu.aif
Iloha	            Tiki Tiki Bamboooos	Tiki Tiki Bamboooos	The Tiki Tiki Bamboos						                                            Surf	31270468	176	    1	        1	                16	        16	                2003	06.01.18 09:29	06.01.18 09:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:The Tiki Tiki Bamboos:16 Iloha.aif
