Name	                    Künstler	        Komponist	Album	                    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	    Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Flying Kota On The Frisbee	Tiki Tiki Bamboooos		        Where Is Your Secret Spot?						                                            Surf	19355423	109			                                1	        16	                2005	06.01.18 09:39	06.01.18 09:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:Where Is Your Secret Spot_:01 Flying Kota On The Frisbee.aif
Etona	                    Tiki Tiki Bamboooos		        Where Is Your Secret Spot?						                                            Surf	34441130	194			                                2	        16	                2005	06.01.18 09:39	06.01.18 09:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:Where Is Your Secret Spot_:02 Etona.aif
Freedom For Jawaii	        Tiki Tiki Bamboooos		        Where Is Your Secret Spot?						                                            Surf	30275751	171			                                3	        16	                2005	06.01.18 09:39	06.01.18 09:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:Where Is Your Secret Spot_:03 Freedom For Jawaii.aif
Bella Ciao (Trad.)	        Tiki Tiki Bamboooos		        Where Is Your Secret Spot?						                                            Surf	39128679	221			                                4	        16	                2005	06.01.18 09:39	06.01.18 09:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:Where Is Your Secret Spot_:04 Bella Ciao (Trad.).aif
Scuba	                    Tiki Tiki Bamboooos		        Where Is Your Secret Spot?						                                            Surf	60776474	344			                                5	        16	                2005	06.01.18 09:39	06.01.18 09:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:Where Is Your Secret Spot_:05 Scuba.aif
Secret Spot	                Tiki Tiki Bamboooos		        Where Is Your Secret Spot?						                                            Surf	24160544	136			                                6	        16	                2005	06.01.18 09:39	06.01.18 09:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:Where Is Your Secret Spot_:06 Secret Spot.aif
Bamboo A Go Go	            Tiki Tiki Bamboooos		        Where Is Your Secret Spot?						                                            Surf	30849635	174			                                7	        16	                2005	06.01.18 09:39	06.01.18 09:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:Where Is Your Secret Spot_:07 Bamboo A Go Go.aif
Jii San Baa San	            Tiki Tiki Bamboooos		        Where Is Your Secret Spot?						                                            Surf	32872356	185			                                8	        16	                2005	06.01.18 09:39	06.01.18 09:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:Where Is Your Secret Spot_:08 Jii San Baa San.aif
Tiki Hell	                Tiki Tiki Bamboooos		        Where Is Your Secret Spot?						                                            Surf	25169550	142			                                9	        16	                2005	06.01.18 09:39	06.01.18 09:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:Where Is Your Secret Spot_:09 Tiki Hell.aif
Aonori	                    Tiki Tiki Bamboooos		        Where Is Your Secret Spot?						                                            Surf	27700302	156			                                10	        16	                2005	06.01.18 09:39	06.01.18 09:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Tiki Tiki Bamboooos:Where Is Your Secret Spot_:10 Aonori.aif
