Name	                        Künstler	Komponist	Album	                        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Wakey Wakey Intro	            Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	18776959	106	    1	        1	                1	        22	                1990	27.01.18 13:58	27.01.18 13:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:01 Wakey Wakey Intro.aif
Dig That Groove Baby	        Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	27255922	154	    1	        1	                2	        22	                1990	27.01.18 13:58	27.01.18 13:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:02 Dig That Groove Baby.aif
Cloughy Is A Bootboy	        Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	33547522	189	    1	        1	                3	        22	                1990	27.01.18 13:58	27.01.18 13:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:03 Cloughy Is A Bootboy.aif
Lambrusco Kid	                Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	30583995	173	    1	        1	                4	        22	                1990	27.01.18 13:58	27.01.18 13:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:04 Lambrusco Kid.aif
I've Got Asthma	                Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	23217533	131	    1	        1	                5	        22	                1990	27.01.18 13:58	27.01.18 13:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:05 I've Got Asthma.aif
Peter Practises Practice Place	Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	32070476	181	    1	        1	                6	        22	                1990	27.01.18 13:58	27.01.18 13:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:06 Peter Practises Practice Place.aif
Deidre's A Slag	                Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	35781917	202	    1	        1	                7	        22	                1990	27.01.18 13:58	27.01.18 13:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:07 Deidre's A Slag.aif
Ashbrooke Launderette	        Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	25633043	144	    1	        1	                8	        22	                1990	27.01.18 13:58	27.01.18 13:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:08 Ashbrooke Launderette.aif
Bless You My Son	            Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	22041534	124	    1	        1	                9	        22	                1990	27.01.18 13:58	27.01.18 13:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:09 Bless You My Son.aif
My Girlfriend's Dad's A Vicar	Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	13877756	78	    1	        1	                10	        22	                1990	27.01.18 13:58	27.01.18 13:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:10 My Girlfriend's Dad's A Vicar.aif
Spiders In The Dressing Room	Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	31073227	175	    1	        1	                11	        22	                1990	27.01.18 13:58	27.01.18 13:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:11 Spiders In The Dressing Room.aif
Popeye Medley	                Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	37581196	212	    1	        1	                12	        22	                1990	27.01.18 13:58	27.01.18 13:53	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:12 Popeye Medley.aif
She Goes To Finos	            Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	28342544	160	    1	        1	                13	        22	                1990	27.01.18 13:58	27.01.18 13:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:13 She Goes To Finos.aif
Fisticuffs In Frederick Street	Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	37945773	214	    1	        1	                14	        22	                1990	27.01.18 13:58	27.01.18 13:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:14 Fisticuffs In Frederick Street.aif
Harry Cross	                    Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	43590554	246	    1	        1	                15	        22	                1990	27.01.18 13:58	27.01.18 13:54	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:15 Harry Cross.aif
Glenda & The Test Tube Baby	    Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	40968090	231	    1	        1	                16	        22	                1990	27.01.18 13:58	27.01.18 13:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:16 Glenda & The Test Tube Baby.aif
Wakey Wakey Outro	            Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	20035280	113	    1	        1	                17	        22	                1990	27.01.18 13:58	27.01.18 13:55	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:17 Wakey Wakey Outro.aif
When The Saints	                Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	17314014	97	    1	        1	                18	        22	                1990	27.01.18 13:58	27.01.18 13:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:18 When The Saints.aif
Wipe Out	                    Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	32823095	185	    1	        1	                19	        22	                1990	27.01.18 13:58	27.01.18 13:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:19 Wipe Out.aif
Nellie The Elephant	            Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	38505538	217	    1	        1	                20	        22	                1990	27.01.18 13:58	27.01.18 13:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:20 Nellie The Elephant.aif
Sabre Dance	                    Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	26766698	151	    1	        1	                21	        22	                1990	27.01.18 13:58	27.01.18 13:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:21 Sabre Dance.aif
Blue Suede Shoes	            Toy Dolls		    Twenty Two Tunes Live From Tokyo						                                            Punk	26980735	152	    1	        1	                22	        22	                1990	27.01.18 13:58	27.01.18 13:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Toy Dolls:Twenty Two Tunes Live From Tokyo:22 Blue Suede Shoes.aif
