Name	                    Künstler	    Komponist	    Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Bang For The Buck	        Ugly Duckling	Ugly Duckling	Bang For The Buck						                                            Rap	    33148885	187	    1	        1	                1	        13	                2006	04.01.18 08:41	04.01.18 08:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Duckling:Bang For The Buck:01 Bang For The Buck.aif
Yudee!          	        Ugly Duckling	Ugly Duckling	Bang For The Buck						                                            Rap	    41738378	236	    1	        1	                2	        13	                2006	04.01.18 08:41	04.01.18 08:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Duckling:Bang For The Buck:02 Yudee!.aif
The Breakdown	            Ugly Duckling	Ugly Duckling	Bang For The Buck						                                            Rap	    36695697	207	    1	        1	                3	        13	                2006	04.01.18 08:41	04.01.18 08:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Duckling:Bang For The Buck:03 The Breakdown.aif
Left Behind	                Ugly Duckling	Ugly Duckling	Bang For The Buck						                                            Rap	    37744687	213	    1	        1	                4	        13	                2006	04.01.18 08:41	04.01.18 08:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Duckling:Bang For The Buck:04 Left Behind.aif
Smack	                    Ugly Duckling	Ugly Duckling	Bang For The Buck						                                            Rap	    41863033	236	    1	        1	                5	        13	                2006	04.01.18 08:41	04.01.18 08:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Duckling:Bang For The Buck:05 Smack.aif
Einstein's On Stage	        Ugly Duckling	Ugly Duckling	Bang For The Buck						                                            Rap	    35143383	198	    1	        1	                6	        13	                2006	04.01.18 08:41	04.01.18 08:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Duckling:Bang For The Buck:06 Einstein's On Stage.aif
Let It Out	                Ugly Duckling	Ugly Duckling	Bang For The Buck						                                            Rap	    38212734	216	    1	        1	                7	        13	                2006	04.01.18 08:41	04.01.18 08:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Duckling:Bang For The Buck:07 Let It Out.aif
Lower The Boom	            Ugly Duckling	Ugly Duckling	Bang For The Buck						                                            Rap	    40040242	226	    1	        1	                8	        13	                2006	04.01.18 08:41	04.01.18 08:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Duckling:Bang For The Buck:08 Lower The Boom.aif
Andy Vs. Dizzy	            Ugly Duckling	Ugly Duckling	Bang For The Buck						                                            Rap	    24681682	139	    1	        1	                9	        13	                2006	04.01.18 08:41	04.01.18 08:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Duckling:Bang For The Buck:09 Andy Vs. Dizzy.aif
Slow The Flow	            Ugly Duckling	Ugly Duckling	Bang For The Buck						                                            Rap	    43234260	244	    1	        1	                10	        13	                2006	04.01.18 08:41	04.01.18 08:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Duckling:Bang For The Buck:10 Slow The Flow.aif
Shoot Your Shot	            Ugly Duckling	Ugly Duckling	Bang For The Buck						                                            Rap	    46444742	262	    1	        1	                11	        13	                2006	04.01.18 08:41	04.01.18 08:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Duckling:Bang For The Buck:11 Shoot Your Shot.aif
The End Of Time	            Ugly Duckling	Ugly Duckling	Bang For The Buck						                                            Rap	    47992358	271	    1	        1	                12	        13	                2006	04.01.18 08:41	04.01.18 08:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Duckling:Bang For The Buck:12 The End Of Time.aif
Bang For The Buck (Remix)	Ugly Duckling	Ugly Duckling	Bang For The Buck						                                            Rap	    35987760	203	    1	        1	                13	        13	                2006	04.01.18 08:41	04.01.18 08:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Duckling:Bang For The Buck:13 Bang For The Buck (Remix).aif
