Name	                Künstler	    Komponist	                                            Album	                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Neighbor	            Ugly Kid Joe	H.Chapin/S.Chapin	                                    America's Least Wanted						                                            Metal	50708235	285	    1	        1	                1	        13	                1992	20.01.18 18:28	20.01.18 18:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:America's Least Wanted:01 Neighbor.aif
Goddamn Devil	        Ugly Kid Joe	Klaus Eichstadt	                                        America's Least Wanted						                                            Metal	52394622	294	    1	        1	                2	        13	                1992	20.01.18 18:28	20.01.18 18:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:America's Least Wanted:02 Goddamn Devil.aif
Come Tomorrow	        Ugly Kid Joe	Whitfield Crane/Roger Lahr	                            America's Least Wanted						                                            Metal	52502825	295	    1	        1	                3	        13	                1992	20.01.18 18:28	20.01.18 18:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:America's Least Wanted:03 Come Tomorrow.aif
Panhandlin' Prince	    Ugly Kid Joe	Klaus Eichstadt	                                        America's Least Wanted						                                            Metal	60755987	342	    1	        1	                4	        13	                1992	20.01.18 18:28	20.01.18 18:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:America's Least Wanted:04 Panhandlin' Prince.aif
Busy Bee	            Ugly Kid Joe	Dave Fortman	                                        America's Least Wanted						                                            Metal	44588326	250	    1	        1	                5	        13	                1992	20.01.18 18:28	20.01.18 18:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:America's Least Wanted:05 Busy Bee.aif
Don't Go	            Ugly Kid Joe	Steven Eric Phillips	                                America's Least Wanted						                                            Metal	48509118	272	    1	        1	                6	        13	                1992	20.01.18 18:28	20.01.18 18:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:America's Least Wanted:06 Don't Go.aif
So Damn Cool	        Ugly Kid Joe	Klaus Eichstadt	                                        America's Least Wanted						                                            Metal	47356637	266	    1	        1	                7	        13	                1992	20.01.18 18:28	20.01.18 18:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:America's Least Wanted:07 So Damn Cool.aif
Same Side	            Ugly Kid Joe	Whitfield Crane/Klaus Eichstadt/Cordell Miller Crockett	America's Least Wanted						                                            Metal	51719634	291	    1	        1	                8	        13	                1992	20.01.18 18:28	20.01.18 18:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:America's Least Wanted:08 Same Side.aif
Cat's In The Cradle	    Ugly Kid Joe	Sandy Campbell Chapin/Harry Chapin	                    America's Least Wanted						                                            Metal	43104247	242	    1	        1	                9	        13	                1992	20.01.18 18:28	20.01.18 18:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:America's Least Wanted:09 Cat's In The Cradle.aif
I'll Keep Tryin'	    Ugly Kid Joe	Klaus Eichstadt	                                        America's Least Wanted						                                            Metal	53149620	299	    1	        1	                10	        13	                1992	20.01.18 18:28	20.01.18 18:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:America's Least Wanted:10 I'll Keep Tryin'.aif
Everything About You	Ugly Kid Joe	Whitfield Crane/Klaus Eichstadt	                        America's Least Wanted						                                            Metal	46310024	260	    1	        1	                11	        13	                1992	20.01.18 18:28	20.01.18 18:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:America's Least Wanted:11 Everything About You.aif
Madman ('92 Re-Mix)	    Ugly Kid Joe	H.Chapin/S.Chapin	                                    America's Least Wanted						                                            Metal	38689529	217	    1	        1	                12	        13	                1992	20.01.18 18:28	20.01.18 18:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:America's Least Wanted:12 Madman ('92 Re-Mix).aif
Mr. Recordman	        Ugly Kid Joe	Klaus Eichstadt	                                        America's Least Wanted						                                            Metal	43840401	246	    1	        1	                13	        13	                1992	20.01.18 18:28	20.01.18 18:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:America's Least Wanted:13 Mr. Recordman.aif
