Name	            Künstler	    Komponist	Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Intro	            Ugly Kid Joe		        Menace To Sobriety						                                            Metal	19501803	110	    1	        1	                1	        14	                1995	20.01.18 18:53	20.01.18 18:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Menace To Sobriety:01 Intro.aif
God	                Ugly Kid Joe		        Menace To Sobriety						                                            Metal	30485641	172	    1	        1	                2	        14	                1995	20.01.18 18:53	20.01.18 18:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Menace To Sobriety:02 God.aif
Tomorrow's World	Ugly Kid Joe		        Menace To Sobriety						                                            Metal	45456134	257	    1	        1	                3	        14	                1995	20.01.18 18:53	20.01.18 18:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Menace To Sobriety:03 Tomorrow's World.aif
Clover	            Ugly Kid Joe		        Menace To Sobriety						                                            Metal	37842700	214	    1	        1	                4	        14	                1995	20.01.18 18:53	20.01.18 18:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Menace To Sobriety:04 Clover.aif
C.U.S.T.	        Ugly Kid Joe		        Menace To Sobriety						                                            Metal	31555806	178	    1	        1	                5	        14	                1995	20.01.18 18:53	20.01.18 18:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Menace To Sobriety:05 C.U.S.T..aif
Milkman's Son	    Ugly Kid Joe		        Menace To Sobriety						                                            Metal	40850915	231	    1	        1	                6	        14	                1995	20.01.18 18:53	20.01.18 18:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Menace To Sobriety:06 Milkman's Son.aif
Suckerpath	        Ugly Kid Joe		        Menace To Sobriety						                                            Metal	51665408	292	    1	        1	                7	        14	                1995	20.01.18 18:53	20.01.18 18:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Menace To Sobriety:07 Suckerpath.aif
Cloudy Skies	    Ugly Kid Joe		        Menace To Sobriety						                                            Metal	46780306	264	    1	        1	                8	        14	                1995	20.01.18 18:53	20.01.18 18:46	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Menace To Sobriety:08 Cloudy Skies.aif
Jesus Rode A Harley	Ugly Kid Joe		        Menace To Sobriety						                                            Metal	34312361	194	    1	        1	                9	        14	                1995	20.01.18 18:53	20.01.18 18:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Menace To Sobriety:09 Jesus Rode A Harley.aif
10/10	            Ugly Kid Joe		        Menace To Sobriety						                                            Metal	38148460	215	    1	        1	                10	        14	                1995	20.01.18 18:53	20.01.18 18:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Menace To Sobriety:10 10_10.aif
V.I.P.	            Ugly Kid Joe		        Menace To Sobriety						                                            Metal	39921869	226	    1	        1	                11	        14	                1995	20.01.18 18:53	20.01.18 18:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Menace To Sobriety:11 V.I.P..aif
Oompa	            Ugly Kid Joe		        Menace To Sobriety						                                            Metal	22001980	124	    1	        1	                12	        14	                1995	20.01.18 18:53	20.01.18 18:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Menace To Sobriety:12 Oompa.aif
Candle Song	        Ugly Kid Joe		        Menace To Sobriety						                                            Metal	31372354	177	    1	        1	                13	        14	                1995	20.01.18 18:53	20.01.18 18:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Menace To Sobriety:13 Candle Song.aif
Slower Than Nowhere	Ugly Kid Joe		        Menace To Sobriety						                                            Metal	52559178	297	    1	        1	                14	        14	                1995	20.01.18 18:53	20.01.18 18:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Menace To Sobriety:14 Slower Than Nowhere.aif
