Name	                            Künstler	Komponist	Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
It's A Lie	                        Ugly Kid Joe		    Motel California						                                            Metal	31638248	179	    1	        1	                1	        12	                1996	20.01.18 19:08	20.01.18 19:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Motel California:01 It's A Lie.aif
Dialogue	                        Ugly Kid Joe		    Motel California						                                            Metal	25699446	145	    1	        1	                2	        12	                1996	20.01.18 19:08	20.01.18 19:03	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Motel California:02 Dialogue.aif
Sandwich	                        Ugly Kid Joe		    Motel California						                                            Metal	29126310	164	    1	        1	                3	        12	                1996	20.01.18 19:08	20.01.18 19:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Motel California:03 Sandwich.aif
Rage Against The Answering Machine	Ugly Kid Joe		    Motel California						                                            Metal	17408672	98	    1	        1	                4	        12	                1996	20.01.18 19:08	20.01.18 19:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Motel California:04 Rage Against The Answering Machine.aif
Would You Like To Be There	        Ugly Kid Joe		    Motel California						                                            Metal	34660584	196	    1	        1	                5	        12	                1996	20.01.18 19:08	20.01.18 19:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Motel California:05 Would You Like To Be There.aif
Little Red Man	                    Ugly Kid Joe		    Motel California						                                            Metal	42492732	240	    1	        1	                6	        12	                1996	20.01.18 19:08	20.01.18 19:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Motel California:06 Little Red Man.aif
Bicycle Wheels	                    Ugly Kid Joe		    Motel California						                                            Metal	21178908	119	    1	        1	                7	        12	                1996	20.01.18 19:08	20.01.18 19:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Motel California:07 Bicycle Wheels.aif
Father	                            Ugly Kid Joe		    Motel California						                                            Metal	37047844	209	    1	        1	                8	        12	                1996	20.01.18 19:08	20.01.18 19:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Motel California:08 Father.aif
Undertow	                        Ugly Kid Joe		    Motel California						                                            Metal	47518950	269	    1	        1	                9	        12	                1996	20.01.18 19:08	20.01.18 19:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Motel California:09 Undertow.aif
Shine	                            Ugly Kid Joe		    Motel California						                                            Metal	29991846	169	    1	        1	                10	        12	                1996	20.01.18 19:08	20.01.18 19:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Motel California:10 Shine.aif
Strange	                            Ugly Kid Joe		    Motel California						                                            Metal	45985448	260	    1	        1	                11	        12	                1996	20.01.18 19:08	20.01.18 19:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Motel California:11 Strange.aif
12 Cents	                        Ugly Kid Joe		    Motel California						                                            Metal	52060665	294	    1	        1	                12	        12	                1996	20.01.18 19:08	20.01.18 19:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Ugly Kid Joe:Motel California:12 12 Cents.aif
