Name	                Künstler	        Komponist	Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Demagogue	            Urban Dance Squad		        Persona Non Grata						                                            Crossover	44798184	253	    1	        1	                1	        14	                1994	04.01.18 09:17	04.01.18 09:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Urban Dance Squad:Persona Non Grata:01 Demagogue.aif
Good Grief	            Urban Dance Squad		        Persona Non Grata						                                            Crossover	47587657	269	    1	        1	                2	        14	                1994	04.01.18 09:17	04.01.18 09:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Urban Dance Squad:Persona Non Grata:02 Good Grief.aif
No Honestly!	        Urban Dance Squad		        Persona Non Grata						                                            Crossover	36824907	208	    1	        1	                3	        14	                1994	04.01.18 09:17	04.01.18 09:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Urban Dance Squad:Persona Non Grata:03 No Honestly!.aif
Alienated	            Urban Dance Squad		        Persona Non Grata						                                            Crossover	56172456	318	    1	        1	                4	        14	                1994	04.01.18 09:17	04.01.18 09:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Urban Dance Squad:Persona Non Grata:04 Alienated.aif
Candy Strip Exp.	    Urban Dance Squad		        Persona Non Grata						                                            Crossover	51336751	290	    1	        1	                5	        14	                1994	04.01.18 09:17	04.01.18 09:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Urban Dance Squad:Persona Non Grata:05 Candy Strip Exp..aif
Self Sufficient Snake	Urban Dance Squad		        Persona Non Grata						                                            Crossover	58282212	330	    1	        1	                6	        14	                1994	04.01.18 09:17	04.01.18 09:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Urban Dance Squad:Persona Non Grata:06 Self Sufficient Snake.aif
(Some) Chitchat	        Urban Dance Squad		        Persona Non Grata						                                            Crossover	54267342	307	    1	        1	                7	        14	                1994	04.01.18 09:17	04.01.18 09:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Urban Dance Squad:Persona Non Grata:07 (Some) Chitchat.aif
Burnt Up Cigarette	    Urban Dance Squad		        Persona Non Grata						                                            Crossover	43805649	247	    1	        1	                8	        14	                1994	04.01.18 09:17	04.01.18 09:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Urban Dance Squad:Persona Non Grata:08 Burnt Up Cigarette.aif
Selfstyled	            Urban Dance Squad		        Persona Non Grata						                                            Crossover	34621081	195	    1	        1	                9	        14	                1994	04.01.18 09:17	04.01.18 09:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Urban Dance Squad:Persona Non Grata:09 Selfstyled.aif
Mugshot	                Urban Dance Squad		        Persona Non Grata						                                            Crossover	34449385	194	    1	        1	                10	        14	                1994	04.01.18 09:17	04.01.18 09:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Urban Dance Squad:Persona Non Grata:10 Mugshot.aif
Hangout	                Urban Dance Squad		        Persona Non Grata						                                            Crossover	38725321	219	    1	        1	                11	        14	                1994	04.01.18 09:17	04.01.18 09:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Urban Dance Squad:Persona Non Grata:11 Hangout.aif
Downer	                Urban Dance Squad		        Persona Non Grata						                                            Crossover	102429240	580	    1	        1	                12	        14	                1994	04.01.18 09:17	04.01.18 09:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Urban Dance Squad:Persona Non Grata:12 Downer.aif
Demagogue - 2	        Urban Dance Squad		        Persona Non Grata						                                            Crossover	41606527	235	    1	        1	                13	        14	                1994	04.01.18 09:17	04.01.18 09:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Urban Dance Squad:Persona Non Grata:13 Demagogue - 2.aif
Demagogue - 3	        Urban Dance Squad		        Persona Non Grata						                                            Crossover	57924703	327	    1	        1	                14	        14	                1994	04.01.18 09:17	04.01.18 09:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Urban Dance Squad:Persona Non Grata:14 Demagogue - 3.aif
