Name	                Künstler	Komponist	Album	                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Chroëddemoëdde	        Wazomba	    Wazomba	    Voilà Une Belle Merde						                                            Other	39698383	223			        1	                11	                            2010	21.01.18 08:26	21.01.18 08:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wazomba:Voilà Une Belle Merde:01 Chroëddemoëdde.aif
Sicilian Tragedy	    Wazomba	    Wazomba	    Voilà Une Belle Merde						                                            Other	51246688	288			        2	                11	                            2010	21.01.18 08:26	21.01.18 08:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wazomba:Voilà Une Belle Merde:02 Sicilian Tragedy.aif
Posmokohl	            Wazomba	    Wazomba	    Voilà Une Belle Merde						                                            Other	40660329	228			        3	                11	                            2010	21.01.18 08:26	21.01.18 08:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wazomba:Voilà Une Belle Merde:03 Posmokohl.aif
Mamas Bazar	            Wazomba	    Wazomba	    Voilà Une Belle Merde						                                            Other	36730139	206			        4	                11	                            2010	21.01.18 08:26	21.01.18 08:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wazomba:Voilà Une Belle Merde:04 Mamas Bazar.aif
Dogs With Fucking Curls	Wazomba	    Wazomba	    Voilà Une Belle Merde						                                            Other	34709783	195			        5	                11	                            2010	21.01.18 08:26	21.01.18 08:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wazomba:Voilà Une Belle Merde:05 Dogs With Fucking Curls.aif
Summerbreeze	        Wazomba	    Wazomba	    Voilà Une Belle Merde						                                            Other	36480828	205			        6	                11	                            2010	21.01.18 08:26	21.01.18 08:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wazomba:Voilà Une Belle Merde:06 Summerbreeze.aif
Set The Moon On Fire	Wazomba	    Wazomba	    Voilà Une Belle Merde						                                            Other	46037012	259			        7	                11	                            2010	21.01.18 08:26	21.01.18 08:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wazomba:Voilà Une Belle Merde:07 Set The Moon On Fire.aif
Flight To Neptun	    Wazomba	    Wazomba	    Voilà Une Belle Merde						                                            Other	40705024	229			        8	                11	                            2010	21.01.18 08:26	21.01.18 08:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wazomba:Voilà Une Belle Merde:08 Flight To Neptun.aif
Don't Get Me Wrong	    Wazomba	    Wazomba	    Voilà Une Belle Merde						                                            Other	47078946	265			        9	                11	                            2010	21.01.18 08:26	21.01.18 08:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wazomba:Voilà Une Belle Merde:09 Don't Get Me Wrong.aif
Got To Go	            Wazomba	    Wazomba	    Voilà Une Belle Merde						                                            Other	30986554	173			        10	                11	                            2010	21.01.18 08:26	21.01.18 08:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wazomba:Voilà Une Belle Merde:10 Got To Go.aif
Rise And Shine	        Wazomba	    Wazomba	    Voilà Une Belle Merde						                                            Other	54845247	309			        11	                11	                            2010	21.01.18 08:26	21.01.18 08:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wazomba:Voilà Une Belle Merde:11 Rise And Shine.aif
