Name	                                    Künstler	        Komponist	                            Album	                            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Bacon Martini	                            Whiskey Daredevils	B Lanphier/G.Miller/Whiskey Daredevils	The Essential Whiskey Daredevils						                                            Rock'n'Roll	29858210	168	    1	        1	                1	        20	                2006	06.01.18 08:56	06.01.18 08:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:The Essential Whiskey Daredevils:01 Bacon Martini.aif
Ear to the Ground	                        Whiskey Daredevils	B Lanphier/G.Miller/Whiskey Daredevils	The Essential Whiskey Daredevils						                                            Rock'n'Roll	24789654	139	    1	        1	                2	        20	                2006	06.01.18 08:56	06.01.18 08:48	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:The Essential Whiskey Daredevils:02 Ear to the Ground.aif
Ironic Trucker Hat	                        Whiskey Daredevils	B Lanphier/G.Miller/Whiskey Daredevils	The Essential Whiskey Daredevils						                                            Rock'n'Roll	19829287	111	    1	        1	                3	        20	                2006	06.01.18 08:56	06.01.18 08:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:The Essential Whiskey Daredevils:03 Ironic Trucker Hat.aif
Devils Radio	                            Whiskey Daredevils	B Lanphier/G.Miller/Whiskey Daredevils	The Essential Whiskey Daredevils						                                            Rock'n'Roll	31085953	175	    1	        1	                4	        20	                2006	06.01.18 08:56	06.01.18 08:49	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:The Essential Whiskey Daredevils:04 Devils Radio.aif
Lid of Bluegrass	                        Whiskey Daredevils	B Lanphier/G.Miller/Whiskey Daredevils	The Essential Whiskey Daredevils						                                            Rock'n'Roll	28301189	159	    1	        1	                5	        20	                2006	06.01.18 08:56	06.01.18 08:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:The Essential Whiskey Daredevils:05 Lid of Bluegrass.aif
Wichita Buzzcut	                            Whiskey Daredevils	B Lanphier/G.Miller/Whiskey Daredevils	The Essential Whiskey Daredevils						                                            Rock'n'Roll	34853860	197	    1	        1	                6	        20	                2006	06.01.18 08:56	06.01.18 08:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:The Essential Whiskey Daredevils:06 Wichita Buzzcut.aif
Pedro (Have You Seen the Bottle Opener?)	Whiskey Daredevils	B Lanphier/G.Miller/Whiskey Daredevils	The Essential Whiskey Daredevils						                                            Rock'n'Roll	22218941	125	    1	        1	                7	        20	                2006	06.01.18 08:56	06.01.18 08:50	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:The Essential Whiskey Daredevils:07 Pedro (Have You Seen the Bottle Opener_).aif
Jesus Walks Beside Me	                    Whiskey Daredevils	B Lanphier/G.Miller/Whiskey Daredevils	The Essential Whiskey Daredevils						                                            Rock'n'Roll	33548506	189	    1	        1	                8	        20	                2006	06.01.18 08:56	06.01.18 08:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:The Essential Whiskey Daredevils:08 Jesus Walks Beside Me.aif
Mickey's Bigmouth	                        Whiskey Daredevils	B Lanphier/G.Miller/Whiskey Daredevils	The Essential Whiskey Daredevils						                                            Rock'n'Roll	25332966	143	    1	        1	                9	        20	                2006	06.01.18 08:56	06.01.18 08:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:The Essential Whiskey Daredevils:09 Mickey's Bigmouth.aif
Worm	                                    Whiskey Daredevils	B Lanphier/G.Miller/Whiskey Daredevils	The Essential Whiskey Daredevils						                                            Rock'n'Roll	31067130	175	    1	        1	                10	        20	                2006	06.01.18 08:56	06.01.18 08:51	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:The Essential Whiskey Daredevils:10 Worm.aif
Trucker Bomb	                            Whiskey Daredevils	B Lanphier/G.Miller/Whiskey Daredevils	The Essential Whiskey Daredevils						                                            Rock'n'Roll	36994178	209	    1	        1	                11	        20	                2006	06.01.18 08:56	06.01.18 08:52	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:The Essential Whiskey Daredevils:11 Trucker Bomb.aif
