Name	                                                Künstler	        Komponist	                        Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Straight Edge / Minor Threat	                        Whiskey Daredevils	Various Artists/Whiskey Daredevils	Old Favorites						                                            Rock'n'Roll	24795468	140	    1	        1	                1	        14	                2007	06.01.18 09:14	06.01.18 09:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:Old Favorites:01 Straight Edge _ Minor Threat.aif
Wasted / Circle Jerks	                                Whiskey Daredevils	Various Artists/Whiskey Daredevils	Old Favorites						                                            Rock'n'Roll	18866069	106	    1	        1	                2	        14	                2007	06.01.18 09:14	06.01.18 09:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:Old Favorites:02 Wasted _ Circle Jerks.aif
Skulls / Misfits	                                    Whiskey Daredevils	Various Artists/Whiskey Daredevils	Old Favorites						                                            Rock'n'Roll	23857008	134	    1	        1	                3	        14	                2007	06.01.18 09:14	06.01.18 09:04	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:Old Favorites:03 Skulls _ Misfits.aif
I Don't Care / Black Flag	                            Whiskey Daredevils	Various Artists/Whiskey Daredevils	Old Favorites						                                            Rock'n'Roll	39617769	224	    1	        1	                4	        14	                2007	06.01.18 09:14	06.01.18 09:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:Old Favorites:04 I Don't Care _ Black Flag.aif
The Shah Sleeps in Lee Harvey's Grave / Butthole Surfrs	Whiskey Daredevils	Various Artists/Whiskey Daredevils	Old Favorites						                                            Rock'n'Roll	17342007	97	    1	        1	                5	        14	                2007	06.01.18 09:14	06.01.18 09:05	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:Old Favorites:05 The Shah Sleeps in Lee Harvey's Grave _ Butthole Surfrs.aif
God Save the Queen / Sex Pistols	                    Whiskey Daredevils	Various Artists/Whiskey Daredevils	Old Favorites						                                            Rock'n'Roll	26759392	151	    1	        1	                6	        14	                2007	06.01.18 09:14	06.01.18 09:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:Old Favorites:06 God Save the Queen _ Sex Pistols.aif
Beef Bologna / Fear	                                    Whiskey Daredevils	Various Artists/Whiskey Daredevils	Old Favorites						                                            Rock'n'Roll	28549251	161	    1	        1	                7	        14	                2007	06.01.18 09:14	06.01.18 09:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:Old Favorites:07 Beef Bologna _ Fear.aif
Six Pack (To Go) Hank Thomson / Black Flag	            Whiskey Daredevils	Various Artists/Whiskey Daredevils	Old Favorites						                                            Rock'n'Roll	21323930	120	    1	        1	                8	        14	                2007	06.01.18 09:14	06.01.18 09:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:Old Favorites:08 Six Pack (To Go) Hank Thomson _ Black Flag.aif
Ha Ha Ha / Flipper	                                    Whiskey Daredevils	Various Artists/Whiskey Daredevils	Old Favorites						                                            Rock'n'Roll	15777890	88	    1	        1	                9	        14	                2007	06.01.18 09:14	06.01.18 09:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:Old Favorites:09 Ha Ha Ha _ Flipper.aif
Imigrant Song / Pay to Cum / Bad Brains / Led Zeppelin	Whiskey Daredevils	Various Artists/Whiskey Daredevils	Old Favorites						                                            Rock'n'Roll	20545431	115	    1	        1	                10	        14	                2007	06.01.18 09:14	06.01.18 09:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Whiskey Daredevils:Old Favorites:10 Imigrant Song _ Pay to Cum _ Bad Brains _ Led Zeppelin.aif
