Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Bring Da Ruckus,Wu-Tang Clan,GZA/Genius/RZA/Wu-Tang/Wu-Tang Clan,Enter The Wu-Tang: 36 Chambers,,,,,,Rap,44389015,251,1,1,1,12,1993,"24.12.17, 14:29","24.12.17, 14:24",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wu-Tang Clan:Enter The Wu-Tang_ 36 Chambers:01 Bring Da Ruckus.aif
Shame On A Nigga,Wu-Tang Clan,GZA/Genius/RZA/Wu-Tang/Wu-Tang Clan,Enter The Wu-Tang: 36 Chambers,,,,,,Rap,31328360,177,1,1,2,12,1993,"24.12.17, 14:29","24.12.17, 14:25",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wu-Tang Clan:Enter The Wu-Tang_ 36 Chambers:02 Shame On A Nigga.aif
Clan In Da Front,Wu-Tang Clan,GZA/Genius/RZA/Wu-Tang/Wu-Tang Clan,Enter The Wu-Tang: 36 Chambers,,,,,,Rap,48265112,273,1,1,3,12,1993,"24.12.17, 14:29","24.12.17, 14:25",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wu-Tang Clan:Enter The Wu-Tang_ 36 Chambers:03 Clan In Da Front.aif
Wu-Tang: 7th Chamber,Wu-Tang Clan,GZA/Genius/RZA/Wu-Tang/Wu-Tang Clan,Enter The Wu-Tang: 36 Chambers,,,,,,Rap,64773804,366,1,1,4,12,1993,"24.12.17, 14:29","24.12.17, 14:25",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wu-Tang Clan:Enter The Wu-Tang_ 36 Chambers:04 Wu-Tang_ 7th Chamber.aif
Can It Be All So Simple,Wu-Tang Clan,GZA/Genius/RZA/Wu-Tang/Wu-Tang Clan,Enter The Wu-Tang: 36 Chambers,,,,,,Rap,72914079,412,1,1,5,12,1993,"24.12.17, 14:29","24.12.17, 14:26",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wu-Tang Clan:Enter The Wu-Tang_ 36 Chambers:05 Can It Be All So Simple.aif
Da Mystery Of Chessboxin',Wu-Tang Clan,GZA/Genius/RZA/Wu-Tang/Wu-Tang Clan,Enter The Wu-Tang: 36 Chambers,,,,,,Rap,50779409,287,1,1,6,12,1993,"24.12.17, 14:29","24.12.17, 14:26",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wu-Tang Clan:Enter The Wu-Tang_ 36 Chambers:06 Da Mystery Of Chessboxin'.aif
Wu-Tang Clan Ain't Nothin' Ta Fuck Wit,Wu-Tang Clan,GZA/Genius/RZA/Wu-Tang/Wu-Tang Clan,Enter The Wu-Tang: 36 Chambers,,,,,,Rap,38175054,216,1,1,7,12,1993,"24.12.17, 14:29","24.12.17, 14:27",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wu-Tang Clan:Enter The Wu-Tang_ 36 Chambers:07 Wu-Tang Clan Ain't Nothin' Ta Fuck Wit.aif
C.R.E.A.M.,Wu-Tang Clan,GZA/Genius/RZA/Wu-Tang/Wu-Tang Clan,Enter The Wu-Tang: 36 Chambers,,,,,,Rap,44523074,252,1,1,8,12,1993,"24.12.17, 14:29","24.12.17, 14:27",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wu-Tang Clan:Enter The Wu-Tang_ 36 Chambers:08 C.R.E.A.M..aif
Method Man,Wu-Tang Clan,GZA/Genius/RZA/Wu-Tang/Wu-Tang Clan,Enter The Wu-Tang: 36 Chambers,,,,,,Rap,61918466,350,1,1,9,12,1993,"24.12.17, 14:29","24.12.17, 14:27",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wu-Tang Clan:Enter The Wu-Tang_ 36 Chambers:09 Method Man.aif
Protect Ya Neck,Wu-Tang Clan,GZA/Genius/RZA/Wu-Tang/Wu-Tang Clan,Enter The Wu-Tang: 36 Chambers,,,,,,Rap,51445018,291,1,1,10,12,1993,"24.12.17, 14:29","24.12.17, 14:28",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Wu-Tang Clan:Enter The Wu-Tang_ 36 Chambers:10 Protect Ya Neck.aif
