Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Intro (Shaolin Finger Jab)/Chamber Music,Wu-Tang Clan,,The W,,,,,,Rap,47077005,266,1,1,1,13,2000,"24.12.17, 13:49","24.12.17, 13:44",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The W:01 Intro (Shaolin Finger Jab)_Chamber Music.aif
"Careful (Click, Click)",Wu-Tang Clan,,The W,,,,,,Rap,52338411,296,1,1,2,13,2000,"24.12.17, 13:49","24.12.17, 13:45",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The W:02 Careful (Click, Click).aif"
Hollow Bones,Wu-Tang Clan,,The W,,,,,,Rap,38386337,217,1,1,3,13,2000,"24.12.17, 13:49","24.12.17, 13:45",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The W:03 Hollow Bones.aif
Redbull,Wu-Tang Clan,,The W,,,,,,Rap,41321628,233,1,1,4,13,2000,"24.12.17, 13:49","24.12.17, 13:45",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The W:04 Redbull.aif
Protect Ya Neck (The Jump Off),Wu-Tang Clan,,The W,,,,,,Rap,42130739,238,1,1,7,13,2000,"24.12.17, 13:49","24.12.17, 13:46",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The W:07 Protect Ya Neck (The Jump Off).aif
"Do You Really (Thang, Thang)",Wu-Tang Clan,,The W,,,,,,Rap,56856612,322,1,1,10,13,2000,"24.12.17, 13:49","24.12.17, 13:47",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The W:10 Do You Really (Thang, Thang).aif"
Gravel Pit,Wu-Tang Clan,,The W,,,,,,Rap,51428178,291,1,1,12,13,2000,"24.12.17, 13:49","24.12.17, 13:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The W:12 Gravel Pit.aif
Jah World,Wu-Tang Clan,,The W,,,,,,Rap,40804193,231,1,1,13,13,2000,"24.12.17, 13:49","24.12.17, 13:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The W:13 Jah World.aif
The Monument,Wu-Tang Clan Feat. Busta Rhymes,,The W,,,,,,Rap,28101063,159,1,1,11,13,2000,"24.12.17, 13:49","24.12.17, 13:47",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The W:11 The Monument.aif
I Can't Go To Sleep,Wu-Tang Clan Feat. Issac Hayes,,The W,,,,,,Rap,38014746,215,1,1,9,13,2000,"24.12.17, 13:49","24.12.17, 13:47",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The W:09 I Can't Go To Sleep.aif
One Blood Under W,Wu-Tang Clan Feat. Junior Reid,,The W,,,,,,Rap,44400424,251,1,1,5,13,2000,"24.12.17, 13:49","24.12.17, 13:46",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The W:05 One Blood Under W.aif
Let My Niggas Live,Wu-Tang Clan Feat. Nas,,The W,,,,,,Rap,47636769,269,1,1,8,13,2000,"24.12.17, 13:49","24.12.17, 13:47",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The W:08 Let My Niggas Live.aif
Conditioner,Wu-Tang Clan Feat. Snoop Dogg,,The W,,,,,,Rap,58702929,332,1,1,6,13,2000,"24.12.17, 13:49","24.12.17, 13:46",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The W:06 Conditioner.aif
