Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
In The Hood,Wu-Tang Clan,Turner/Robert Diggs/J.K. Hunter/P. Charles,Iron Flag,,,,,,Rap,44398966,251,1,1,1,12,2001,"24.12.17, 14:05","24.12.17, 14:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Iron Flag:01 In The Hood.aif
Rules,Wu-Tang Clan,C. Woods/R. Bean/Turner/D Coles/P. Charles/J.K. Hunter/Cliford Smith,Iron Flag,,,,,,Rap,41308458,233,1,1,2,12,2001,"24.12.17, 14:05","24.12.17, 14:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Iron Flag:02 Rules.aif
Chrome Wheels,Wu-Tang Clan,"Robert Diggs, V. Ruff, O. Turner, C. Woods",Iron Flag,,,,,,Rap,45026952,254,1,1,3,12,2001,"24.12.17, 14:05","24.12.17, 14:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Iron Flag:03 Chrome Wheels.aif
Uzi (Pinky Ring),Wu-Tang Clan,"Dennis Coles, Robert Diggs, Gary Grice, L. Hawkins, J.K. Hunter, R. Jones, C. Reid, Clifford Smith, E. Turner, C. Woods",Iron Flag,,,,,,Rap,56563592,320,1,1,5,12,2001,"24.12.17, 14:05","24.12.17, 14:02",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Iron Flag:05 Uzi (Pinky Ring).aif
One Of These Days,Wu-Tang Clan,"R. Charles, L. Hawkins, J.K. Hunter, N. Loftin, C. Woods",Iron Flag,,,,,,Rap,44838810,253,1,1,6,12,2001,"24.12.17, 14:05","24.12.17, 14:02",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Iron Flag:06 One Of These Days.aif
Y'All Been Warned,Wu-Tang Clan,"P. Charles, Robert Diggs, D. Harris, J.K. Hunter, Clifford Smith, E. Turner, C. Woods",Iron Flag,,,,,,Rap,45163415,255,1,1,7,12,2001,"24.12.17, 14:05","24.12.17, 14:02",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Iron Flag:07 Y'All Been Warned.aif
Babies,Wu-Tang Clan,"Dennis Coles, Robert Diggs, Gary Grice, J.K. Hunter, C. Woods",Iron Flag,,,,,,Rap,54413796,307,1,1,8,12,2001,"24.12.17, 14:05","24.12.17, 14:03",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Iron Flag:08 Babies.aif
Radioactive (Four Assassins),Wu-Tang Clan,"Robert Diggs, Gary Grice, Clifford Smith, E. Turner, C. Woods",Iron Flag,,,,,,Rap,37157194,210,1,1,9,12,2001,"24.12.17, 14:05","24.12.17, 14:03",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Iron Flag:09 Radioactive (Four Assassins).aif
Iron Flag,Wu-Tang Clan,"Robert Diggs, L. Hawkins, J.K. Hunter, E. Turner, C. Woods",Iron Flag,,,,,,Rap,68149479,385,1,1,11,12,2001,"24.12.17, 14:05","24.12.17, 14:03",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Iron Flag:11 Iron Flag.aif
Dashing (Reasons),Wu-Tang Clan,"Robert Diggs, Gary Grice, J.K. Hunter",Iron Flag,,,,,,Rap,50490650,285,1,1,12,12,2001,"24.12.17, 14:05","24.12.17, 14:04",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Iron Flag:12 Dashing (Reasons).aif
Soul Power (Black Jungle),Wu-Tang Clan Feat. Flavor Flav,"Robert Diggs, V. Ruff, O. Turner, C. Woods",Iron Flag,,,,,,Rap,51727830,292,1,1,4,12,2001,"24.12.17, 14:05","24.12.17, 14:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Iron Flag:04 Soul Power (Black Jungle).aif
Back In The Game,Wu-Tang Clan Feat. Ron Isley,"S. Barnes, Dennis Coles, J.K. Hunter, J.C. Olivier, Clifford Smith, C. Woods",Iron Flag,,,,,,Rap,48463280,274,1,1,10,12,2001,"24.12.17, 14:05","24.12.17, 14:03",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Iron Flag:10 Back In The Game.aif
