Name	                            ,Künstler	                                            ,Komponist	,Album	            ,ruppierung	Werk	,Nummer für Satz	,Satzzähler	,Name für Satz	,Genre	,Größe	    ,Dauer	,Disc-Nummer	,Anzahl der Discs	,Titelnummer	    ,Anzahl der Titel	,Jahr	,Geändert	        ,Hinzugefügt	    ,Datenrate	,Abtastrate	,Lautstärkeanpassung	,Art	                ,Equalizer	,Kommentar	,Wiedergaben	,Zuletzt gespielt	,Übersprungen	,Zuletzt übersprungen	,Meine Wertung	,Ort
Keep Watch	                        ,Wu Tang Clan Feat. Nathaniel		                    ,            ,A Better Tomorrow	,					,                ,            ,                ,Rap	    ,46814133	,265	    ,1	        ,1	                ,7	            ,15	                ,2014	,24.12.17 11:16	    ,24.12.17 11:16	,1411	    ,44100		,                    ,AIFF-Audiodatei		,			,			,            ,                    ,                ,                        ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Better Tomorrow:07 Keep Watch.aif
Ron O'Neal	                        ,Wu Tang Clan Feat. Nathaniel		                    ,            ,A Better Tomorrow	,					,                ,            ,                ,Rap	    ,47359798	,268	    ,1	        ,1	                ,12	            ,15	                ,2014	,24.12.17 11:18	    ,24.12.17 11:17	,1411	    ,44100		,                    ,AIFF-Audiodatei		,			,			,            ,                    ,                ,                        ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Better Tomorrow:12 Ron O'Neal.aif
Ruckus In B Minor	                ,Wu-Tang Clan		                                    ,            ,A Better Tomorrow	,					,                ,            ,                ,Rap	    ,57285228	,324	    ,1	        ,1	                ,1	            ,15	                ,2014	,24.12.17 11:15	    ,24.12.17 11:14	,1411	    ,44100		,                    ,AIFF-Audiodatei		,			,			,            ,                    ,                ,                        ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Better Tomorrow:01 Ruckus In B Minor.aif
Felt	                            ,Wu-Tang Clan		                                    ,            ,A Better Tomorrow	,					,                ,            ,                ,Rap	    ,40738895	,230	    ,1	        ,1	                ,2	            ,15	                ,2014	,24.12.17 11:15	    ,24.12.17 11:15	,1411	    ,44100		,                    ,AIFF-Audiodatei		,			,			,            ,                    ,                ,                        ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Better Tomorrow:02 Felt.aif
40th Street Black / We Will Fight	,Wu-Tang Clan		                                    ,            ,A Better Tomorrow	,					,                ,            ,                ,Rap	    ,46969372	,266	    ,1	        ,1	                ,3	            ,15	                ,2014	,24.12.17 11:15	    ,24.12.17 11:15	,1411	    ,44100		,                    ,AIFF-Audiodatei		,			,			,            ,                    ,                ,                        ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Better Tomorrow:03 40th Street Black _ We Will Fight.aif
Hold The Heater	                    ,Wu-Tang Clan		                                    ,            ,A Better Tomorrow	,					,                ,            ,                ,Rap	    ,43681258	,247	    ,1	        ,1	                ,5	            ,15	                ,2014	,24.12.17 11:16	    ,24.12.17 11:16	,1411	    ,44100		,                    ,AIFF-Audiodatei		,			,			,            ,                    ,                ,                        ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Better Tomorrow:05 Hold The Heater.aif
Crushed Egos	                    ,Wu-Tang Clan		                                    ,            ,A Better Tomorrow	,					,                ,            ,                ,Rap	    ,25761367	,146	    ,1	        ,1	                ,6	            ,15	                ,2014	,24.12.17 11:16	    ,24.12.17 11:16	,1411	    ,44100		,                    ,AIFF-Audiodatei		,			,			,            ,                    ,                ,                        ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Better Tomorrow:06 Crushed Egos.aif
Miracle	                            ,Wu-Tang Clan		                                    ,            ,A Better Tomorrow	,					,                ,            ,                ,Rap	    ,53498498	,303	    ,1	        ,1	                ,8	            ,15	                ,2014	,24.12.17 11:17	    ,24.12.17 11:16	,1411	    ,44100		,                    ,AIFF-Audiodatei		,			,			,            ,                    ,                ,                        ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Better Tomorrow:08 Miracle.aif
Preacher's Daughter	                ,Wu-Tang Clan		                                    ,            ,A Better Tomorrow	,					,                ,            ,                ,Rap	    ,55248398	,313	    ,1	        ,1	                ,9	            ,15	                ,2014	,24.12.17 11:17	    ,24.12.17 11:17	,1411	    ,44100		,                    ,AIFF-Audiodatei		,			,			,            ,                    ,                ,                        ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Better Tomorrow:09 Preacher's Daughter.aif
Pioneer The Frontier	            ,Wu-Tang Clan		                                    ,            ,A Better Tomorrow	,					,                ,            ,                ,Rap	    ,42107776	,238	    ,1	        ,1	                ,10	            ,15	                ,2014	,24.12.17 11:17	    ,24.12.17 11:17	,1411	    ,44100		,                    ,AIFF-Audiodatei		,			,			,            ,                    ,                ,                        ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Better Tomorrow:10 Pioneer The Frontier.aif
Necklace	                        ,Wu-Tang Clan		                                    ,            ,A Better Tomorrow	,					,                ,            ,                ,Rap	    ,44356276	,251	    ,1	        ,1	                ,11	            ,15	                ,2014	,24.12.17 11:17	    ,24.12.17 11:17	,1411	    ,44100		,                    ,AIFF-Audiodatei		,			,			,            ,                    ,                ,                        ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Better Tomorrow:11 Necklace.aif
Never Let Go	                    ,Wu-Tang Clan		                                    ,            ,A Better Tomorrow	,					,                ,            ,                ,Rap	    ,56838344	,322	    ,1	        ,1	                ,14	            ,15	                ,2014	,24.12.17 11:18	    ,24.12.17 11:18	,1411	    ,44100		,                    ,AIFF-Audiodatei		,			,			,            ,                    ,                ,                        ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Better Tomorrow:14 Never Let Go.aif
Wu-Tang Reunion	                    ,Wu-Tang Clan		                                    ,            ,A Better Tomorrow	,					,                ,            ,                ,Rap	    ,37686011	,213	    ,1	        ,1	                ,15	            ,15	                ,2014	,24.12.17 11:18	    ,24.12.17 11:18	,1411	    ,44100		,                    ,AIFF-Audiodatei		,			,			,            ,                    ,                ,                        ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Better Tomorrow:15 Wu-Tang Reunion.aif
Mistaken Identity	                ,Wu-Tang Clan Feat. Streetlife		                    ,            ,A Better Tomorrow	,					,                ,            ,                ,Rap	    ,60733277	,344	    ,1	        ,1	                ,4	            ,15	                ,2014	,24.12.17 11:16	    ,24.12.17 11:15	,1411	    ,44100		,                    ,AIFF-Audiodatei		,			,			,            ,                    ,                ,                        ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Better Tomorrow:04 Mistaken Identity.aif
A Better Tomorrow	                ,Wu-Tang Clan Feat. Tekitha	S. Bougard/Wu-Tang Clan	    ,            ,A Better Tomorrow	,					,                ,            ,                ,Rap	    ,46649530	,264	    ,1	        ,1	                ,13	            ,15	                ,2014	,24.12.17 11:18	    ,24.12.17 11:18	,1411	    ,44100		,                    ,AIFF-Audiodatei		,			,			,            ,                    ,                ,                        ,                ,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:A Better Tomorrow:13 A Better Tomorrow.aif
