Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Run Ross,Billy Miranda,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,24703723,139,1,6,19,27,2016,"02.01.18, 12:40","02.01.18, 12:38",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-19 Run Ross.aif"
If I Had Me A Woman,Blacky Vale,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,22069492,124,1,6,24,27,2016,"02.01.18, 12:40","02.01.18, 12:38",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-24 If I Had Me A Woman.aif"
My Woman,Burrie Manso,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,20408967,115,1,6,8,27,2016,"02.01.18, 12:40","02.01.18, 12:34",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-08 My Woman.aif"
My Woman,Burrie Manso,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,20495994,115,1,6,17,27,2016,"02.01.18, 12:40","02.01.18, 12:37",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-17 My Woman.aif"
Blue Suede Shoes,Carl Perkins,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,24607295,138,1,6,2,27,2016,"02.01.18, 12:40","02.01.18, 12:33",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-02 Blue Suede Shoes.aif"
Everybody's Trying To Be My Baby,Carl Perkins,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,24169839,136,1,6,4,27,2016,"02.01.18, 12:40","02.01.18, 12:34",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-04 Everybody's Trying To Be My Baby.aif"
Sloppy Sloopy Sue,Curley Jim,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,22542241,127,1,6,12,27,2016,"02.01.18, 12:40","02.01.18, 12:35",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-12 Sloppy Sloopy Sue.aif"
My Babe,Dale Hawkins,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,26625302,150,1,6,6,27,2016,"02.01.18, 12:40","02.01.18, 12:34",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-06 My Babe.aif"
Shake It,Dave Claborn,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,28410474,160,1,6,23,27,2016,"02.01.18, 12:40","02.01.18, 12:38",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-23 Shake It.aif"
Teen Doll,David Starr,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,16786887,94,1,6,9,27,2016,"02.01.18, 12:40","02.01.18, 12:35",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-09 Teen Doll.aif"
Doing All Right,"Eddie Cash, The Cashiers",,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,27276826,154,1,6,7,27,2016,"02.01.18, 12:40","02.01.18, 12:34",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-07 Doing All Right.aif"
Are You Ready,Henry Wilson,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,18913103,106,1,6,10,27,2016,"02.01.18, 12:40","02.01.18, 12:35",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-10 Are You Ready.aif"
Oh What Love Is,"Jack Bailey, The Naturals",,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,24626126,139,1,6,20,27,2016,"02.01.18, 12:40","02.01.18, 12:38",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-20 Oh What Love Is.aif"
Hot Rod Boogie,Jack Kitchen,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,29668797,167,1,6,1,27,2016,"02.01.18, 12:40","02.01.18, 12:33",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-01 Hot Rod Boogie.aif"
When You Said Goodbye,Jerry Arnold,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,20942887,118,1,6,27,27,2016,"02.01.18, 12:40","02.01.18, 12:39",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-27 When You Said Goodbye.aif"
All Night Long,Johnny Fuller,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,31722097,179,1,6,15,27,2016,"02.01.18, 12:40","02.01.18, 12:36",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-15 All Night Long.aif"
True Love Come My Way,Larry Diamond,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,28448120,160,1,6,11,27,2016,"02.01.18, 12:40","02.01.18, 12:35",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-11 True Love Come My Way.aif"
Honey Do You Think Of Me,The Lonesome Drifter,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,23777058,134,1,6,18,27,2016,"02.01.18, 12:40","02.01.18, 12:37",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-18 Honey Do You Think Of Me.aif"
Long John's Flagpole Rock,Lonesome Long John Roller,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,22215333,125,1,6,5,27,2016,"02.01.18, 12:40","02.01.18, 12:34",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-05 Long John's Flagpole Rock.aif"
I've Got It,Ralph,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,24275654,137,1,6,16,27,2016,"02.01.18, 12:40","02.01.18, 12:37",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-16 I've Got It.aif"
A Date At Eight,"Ray King, The Kingsmen",,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,19938587,112,1,6,26,27,2016,"02.01.18, 12:40","02.01.18, 12:39",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-26 A Date At Eight.aif"
Pardon. Mr Gordon,Rod Bernard,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,23447762,132,1,6,25,27,2016,"02.01.18, 12:40","02.01.18, 12:38",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-25 Pardon. Mr Gordon.aif"
Do The Fly,The Rovin' Ramblers,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,21540291,121,1,6,21,27,2016,"02.01.18, 12:40","02.01.18, 12:38",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-21 Do The Fly.aif"
Pretty Linda,Rudy Owen,,"Big Box Of Rockabilly, Vol. 2",,,,,,Rock,20672392,116,1,6,3,27,2016,"02.01.18, 12:40","02.01.18, 12:34",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly, Vol. 2:1-03 Pretty Linda.aif"
