Name; Künstler; Komponist; Album; Gruppierung; Werk; Nummer für Satz; Satzzähler; Name für Satz; Genre; Größe; Dauer; Disc-Nummer; Anzahl der Discs; Titelnummer; Anzahl der Titel; Jahr; Geändert; Hinzugefügt; Datenrate; Abtastrate; Lautstärkeanpassung; Art; Equalizer; Kommentar; Wiedergaben; Zuletzt gespielt; Übersprungen; Zuletzt übersprungen; Meine Wertung; Ort;;;;
Rock Pretty Mama; Billy Adams; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;23605547;133;2;6;23;27;2016; 02.01.18;  13:07; 02.01.18;  12:55;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-23 Rock Pretty Mama.aif
Ballin' Keen; Bobby Terry Caraway;  ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;20679661;116;2;6;7;27;2016; 02.01.18;  13:07; 02.01.18;  12:50;1411;44100; ; AIFF-Audiodatei;; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-07 Ballin' Keen.aif
Lorraine; Buddy Covelle; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;27714482;156;2;6;8;27;2016; 02.01.18;  13:07; 02.01.18;  12:50;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-08 Lorraine.aif
Lend Me Your Comb; Carl Perkins; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;21197098;119;2;6;3;27;2016; 02.01.18;  13:07; 02.01.18;  12:48;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-03 Lend Me Your Comb.aif
Long Tall Sally; Carl Perkins; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;32260904;182;2;6;4;27;2016; 02.01.18;  13:07; 02.01.18;  12:48;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-04 Long Tall Sally.aif
Little Pig; Dale Hawkins; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;24388755;137;2;6;9;27;2016; 02.01.18;  13:07; 02.01.18;  12:51;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-09 Little Pig.aif
Take My Heart; Dale Hawkins; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;23504409;132;2;6;12;27;2016; 02.01.18;  13:07; 02.01.18;  12:52;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-12 Take My Heart.aif
That's My Baby; Dale Hawkins & His Tomcats; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;22890552;129;2;6;10;27;2016; 02.01.18;  13:07; 02.01.18;  12:51;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-10 That's My Baby.aif
Rock Yea; Del Saint & The Devils; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;21072446;118;2;6;20;27;2016; 02.01.18;  13:07; 02.01.18;  12:54;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-20 Rock Yea.aif
Blue Suede Shoes; Delbert Barker; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;24466382;138;2;6;14;27;2016; 02.01.18;  13:07; 02.01.18;  12:52;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-14 Blue Suede Shoes.aif
