Name	                    Künstler	Komponist	            Album	                        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Jumpin' From Six To Six	    Al Barkle		                    Big Box Of Rockabilly,Vol. 2						                                            Rock	22869286	129	    3	        6	                13	        27	                2015	02.01.18 13:35	02.01.18 13:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly,Vol. 2:3-13 Jumpin' From Six To Six.aif
Come Along Baby	            The Astronauts		                Big Box Of Rockabilly,Vol. 2						                                            Rock	20634882	116	    3	        6	                7	        27	                2015	02.01.18 13:35	02.01.18 13:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly,Vol. 2:3-07 Come Along Baby.aif
Hungry For Love	            Baker And The Knight		        Big Box Of Rockabilly,Vol. 2						                                            Rock	27761449	156	    3	        6	                14	        27	                2015	02.01.18 13:35	02.01.18 13:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly,Vol. 2:3-14 Hungry For Love.aif
I Know Why	                illy Clark		                    Big Box Of Rockabilly,Vol. 2						                                            Rock	16398923	92	    3	        6	                23	        27	                2015	02.01.18 13:35	02.01.18 13:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly,Vol. 2:3-23 I Know Why.aif
Bevy Mae	                obby Smith		                    Big Box Of Rockabilly,Vol. 2						                                            Rock	27636777	156	    3	        6	                25	        27	                2015	02.01.18 13:35	02.01.18 13:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly,Vol. 2:3-25 Bevy Mae.aif
Pink Pedal Pushers	        Carl Perkins		                Big Box Of Rockabilly,Vol. 2						                                            Rock	28147171	158	    3	        6	                2	        27	                2015	02.01.18 13:35	02.01.18 13:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly,Vol. 2:3-02 Pink Pedal Pushers.aif
Gone Gone Gone	            Carl Perkins		                Big Box Of Rockabilly,Vol. 2						                                            Rock	28699887	162	    3	        6	                3	        27	                2015	02.01.18 13:35	02.01.18 13:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly,Vol. 2:3-03 Gone Gone Gone.aif
Something Baby	            The Dazzlers		                Big Box Of Rockabilly,Vol. 2						                                            Rock	23480799	132	    3	        6	                1	        27	                2015	02.01.18 13:35	02.01.18 13:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly,Vol. 2:3-01 Something Baby.aif
Crazy Love	                Dick Glasser		                Big Box Of Rockabilly,Vol. 2						                                            Rock	27265163	153	    3	        6	                9	        27	                2015	02.01.18 13:35	02.01.18 13:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly,Vol. 2:3-09 Crazy Love.aif
Don't Ya Know	            Eddie Fontaine		                Big Box Of Rockabilly,Vol. 2						                                            Rock	23283233	131	    3	        6	                18	        27	                2015	02.01.18 13:35	02.01.18 13:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly,Vol. 2:3-18 Don't Ya Know.aif
