Name	        Künstler	    Komponist	Album	                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Wipe Out	    The Lively Ones		        The Great Surf Hits !!						                                            Surf	18085206	102	    1	        1	                1	        12	                2001	07.01.18 12:34	07.01.18 12:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Lively Ones:The Great Surf Hits !!:01 Wipe Out.aif
Pipeline	    The Lively Ones		        The Great Surf Hits !!						                                            Surf	23791158	134	    1	        1	                2	        12	                2001	07.01.18 12:34	07.01.18 12:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Lively Ones:The Great Surf Hits !!:02 Pipeline.aif
Surf Rider	    The Lively Ones		        The Great Surf Hits !!						                                            Surf	34737368	196	    1	        1	                3	        12	                2001	07.01.18 12:34	07.01.18 12:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Lively Ones:The Great Surf Hits !!:03 Surf Rider.aif
Surf City	    The Lively Ones		        The Great Surf Hits !!						                                            Surf	23520679	133	    1	        1	                4	        12	                2001	07.01.18 12:34	07.01.18 12:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Lively Ones:The Great Surf Hits !!:04 Surf City.aif
Surf Beat	    The Lively Ones		        The Great Surf Hits !!						                                            Surf	26488903	149	    1	        1	                5	        12	                2001	07.01.18 12:34	07.01.18 12:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Lively Ones:The Great Surf Hits !!:05 Surf Beat.aif
Surfin' USA	    The Lively Ones		        The Great Surf Hits !!						                                            Surf	24365049	137	    1	        1	                6	        12	                2001	07.01.18 12:34	07.01.18 12:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Lively Ones:The Great Surf Hits !!:06 Surfin' USA.aif
High Tide	    The Lively Ones		        The Great Surf Hits !!						                                            Surf	20639479	116	    1	        1	                7	        12	                2001	07.01.18 12:34	07.01.18 12:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Lively Ones:The Great Surf Hits !!:07 High Tide.aif
Rik-A-Tik	    The Lively Ones		        The Great Surf Hits !!						                                            Surf	32467687	183	    1	        1	                8	        12	                2001	07.01.18 12:34	07.01.18 12:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Lively Ones:The Great Surf Hits !!:08 Rik-A-Tik.aif
Hot Pastrami	The Lively Ones		        The Great Surf Hits !!						                                            Surf	21514426	121	    1	        1	                9	        12	                2001	07.01.18 12:34	07.01.18 12:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Lively Ones:The Great Surf Hits !!:09 Hot Pastrami.aif
Surfin' Safari	The Lively Ones		        The Great Surf Hits !!						                                            Surf	27354445	154	    1	        1	                10	        12	                2001	07.01.18 12:34	07.01.18 12:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Lively Ones:The Great Surf Hits !!:10 Surfin' Safari.aif
Misirlou	    The Lively Ones		        The Great Surf Hits !!						                                            Surf	27488503	155	    1	        1	                11	        12	                2001	07.01.18 12:34	07.01.18 12:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Lively Ones:The Great Surf Hits !!:11 Misirlou.aif
Shut Down	    The Lively Ones		        The Great Surf Hits !!						                                            Surf	20044424	113	    1	        1	                12	        12	                2001	07.01.18 12:34	07.01.18 12:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Lively Ones:The Great Surf Hits !!:12 Shut Down.aif
