Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Spitshine,Alvin Joiner,Denaun Porter/Alvin Joiner/Steve King/Luis Resto,8 Mile (Music From And Inspired By The Motion Picture),,,,,,Soundtrack,38743951,219,1,1,8,16,2002,"26.12.17, 09:52","26.12.17, 09:50",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:8 Mile (Music From And Inspired By The Motion Picture):08 Spitshine.aif
Wastin' My Time,Boomkat,Taryn Manning/Kellin Manning,8 Mile (Music From And Inspired By The Motion Picture),,,,,,Soundtrack,38532253,217,1,1,12,16,2002,"26.12.17, 09:52","26.12.17, 09:50",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:8 Mile (Music From And Inspired By The Motion Picture):12 Wastin' My Time.aif
Rap Game,D12,Luis Resto/Denaun Porter/Rufus Johnson/Eminem/Von Carlisle/Ondre Moore/Deshaun Holton,8 Mile (Music From And Inspired By The Motion Picture),,,,,,Soundtrack,62492122,353,1,1,6,16,2002,"26.12.17, 09:52","26.12.17, 09:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:8 Mile (Music From And Inspired By The Motion Picture):06 Rap Game.aif
Lose Yourself,Eminem,Luis Resto/Jeff Bass/Eminem,8 Mile (Music From And Inspired By The Motion Picture),,,,,,Soundtrack,56588552,320,1,1,1,16,2002,"26.12.17, 09:52","26.12.17, 09:47",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:8 Mile (Music From And Inspired By The Motion Picture):01 Lose Yourself.aif
8 Mile,Eminem,Eminem/Luis Resto,8 Mile (Music From And Inspired By The Motion Picture),,,,,,Soundtrack,63698631,360,1,1,3,16,2002,"26.12.17, 09:52","26.12.17, 09:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:8 Mile (Music From And Inspired By The Motion Picture):03 8 Mile.aif
Rabbit Run,Eminem,Luis Resto/Eminem,8 Mile (Music From And Inspired By The Motion Picture),,,,,,Soundtrack,33616556,190,1,1,16,16,2002,"26.12.17, 09:52","26.12.17, 09:51",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:8 Mile (Music From And Inspired By The Motion Picture):16 Rabbit Run.aif
Battle,Gang Starr,Keith Elam/Chris Martin,8 Mile (Music From And Inspired By The Motion Picture),,,,,,Soundtrack,31217522,176,1,1,15,16,2002,"26.12.17, 09:52","26.12.17, 09:51",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:8 Mile (Music From And Inspired By The Motion Picture):15 Battle.aif
8 Miles And Runnin',Jay-Z & Freeway,Leslie Pridgen/Luis Resto/Shawn Carter/Eminem,8 Mile (Music From And Inspired By The Motion Picture),,,,,,Soundtrack,43866617,248,1,1,7,16,2002,"26.12.17, 09:52","26.12.17, 09:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:8 Mile (Music From And Inspired By The Motion Picture):07 8 Miles And Runnin'.aif
Time Of My Life,Macy Gray,Macy Gray/Mike Elizondo/Dante Ross,8 Mile (Music From And Inspired By The Motion Picture),,,,,,Soundtrack,46211540,261,1,1,9,16,2002,"26.12.17, 09:52","26.12.17, 09:50",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:8 Mile (Music From And Inspired By The Motion Picture):09 Time Of My Life.aif
U Wanna Be Me,Nas,Nasir Jones/Chucky Thompson,8 Mile (Music From And Inspired By The Motion Picture),,,,,,Soundtrack,40736070,230,1,1,10,16,2002,"26.12.17, 09:52","26.12.17, 09:50",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:8 Mile (Music From And Inspired By The Motion Picture):10 U Wanna Be Me.aif
