Name	                Künstler	                        Komponist	Album	                                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Do Lung	                Apocalypse Now : Various Artists	            Various Artists	Apocalypse Now Redux						                                            Soundtrack	43710116	247	    1	        1	                8	        17	                2001	02.01.18 10:29	02.01.18 10:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Apocalypse Now Redux:08 Do Lung.aif
Delta	                Carmine Coppola	                                Various Artists	Apocalypse Now Redux						                                            Soundtrack	29762737	168	    1	        1	                2	        17	                2001	02.01.18 10:29	02.01.18 10:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Apocalypse Now Redux:02 Delta.aif
Dossier	                Carmine Coppola	                                Various Artists	Apocalypse Now Redux						                                            Soundtrack	24230835	137	    1	        1	                3	        17	                2001	02.01.18 10:29	02.01.18 10:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Apocalypse Now Redux:03 Dossier.aif
Orange Light	        Carmine Coppola	                                Various Artists	Apocalypse Now Redux						                                            Soundtrack	11584136	65	    1	        1	                4	        17	                2001	02.01.18 10:29	02.01.18 10:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Apocalypse Now Redux:04 Orange Light.aif
Letters From Home	    Carmine Coppola	                                Various Artists	Apocalypse Now Redux						                                            Soundtrack	13630381	77	    1	        1	                9	        17	                2001	02.01.18 10:29	02.01.18 10:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Apocalypse Now Redux:09 Letters From Home.aif
Clean's Death	        Carmine Coppola	                                Various Artists	Apocalypse Now Redux						                                            Soundtrack	21530746	121	    1	        1	                10	        17	                2001	02.01.18 10:29	02.01.18 10:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Apocalypse Now Redux:10 Clean's Death.aif
Clean`s Funeral	        Carmine Coppola	                                Various Artists	Apocalypse Now Redux						                                            Soundtrack	30251964	171	    1	        1	                11	        17	                2001	02.01.18 10:29	02.01.18 10:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Apocalypse Now Redux:11 Clean`s Funeral.aif
Love Theme	            Carmine Coppola	                                Various Artists	Apocalypse Now Redux						                                            Soundtrack	33975175	192	    1	        1	                12	        17	                2001	02.01.18 10:29	02.01.18 10:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Apocalypse Now Redux:12 Love Theme.aif
Chief's Death	        Carmine Coppola	                                Various Artists	Apocalypse Now Redux						                                            Soundtrack	20448826	115	    1	        1	                13	        17	                2001	02.01.18 10:29	02.01.18 10:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Apocalypse Now Redux:13 Chief's Death.aif
Voyage	                Carmine Coppola	                                Various Artists	Apocalypse Now Redux						                                            Soundtrack	33286035	188	    1	        1	                14	        17	                2001	02.01.18 10:29	02.01.18 10:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Apocalypse Now Redux:14 Voyage.aif
Chef's Head	            Carmine Coppola	                                Various Artists	Apocalypse Now Redux						                                            Soundtrack	20862776	118	    1	        1	                15	        17	                2001	02.01.18 10:29	02.01.18 10:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Apocalypse Now Redux:15 Chef's Head.aif
Kurtz Chorale	        Carmine Coppola	                                Various Artists	Apocalypse Now Redux						                                            Soundtrack	15869482	89	    1	        1	                16	        17	                2001	02.01.18 10:29	02.01.18 10:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Apocalypse Now Redux:16 Kurtz Chorale.aif
