Name	                                Künstler	                                Komponist	                            Album	                                    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Slaughter	                            Billy Preston	                            Billy Preston	                        Quentin Tarantino's Inglourious Basterds						                                            Soundtrack	47176865	264	    1	        1	                4	        14	                1972	02.01.18 10:12	02.01.18 10:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Quentin Tarantino's Inglourious Basterds:04 Slaughter.aif
White Lightning (Main Title)	        Charles Bernstein	                        Charles Bernstein	                    Quentin Tarantino's Inglourious Basterds						                                            Soundtrack	31503164	175	    1	        1	                3	        14	                1973	02.01.18 10:12	02.01.18 10:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Quentin Tarantino's Inglourious Basterds:03 White Lightning (Main Title).aif
Cat People (Putting Out The Fire)	    David Bowie	David                           Bowie/Giorgio Moroder	                Quentin Tarantino's Inglourious Basterds						                                            Soundtrack	44813144	250	    1	        1	                11	        14	                1982	02.01.18 10:12	02.01.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Quentin Tarantino's Inglourious Basterds:11 Cat People (Putting Out The Fire).aif
The Verdict (Dopa La Condanna)	        Ennio Morricone	                            Ennio Morricone	                        Quentin Tarantino's Inglourious Basterds						                                            Soundtrack	13738506	74	    1	        1	                2	        14	                1966	02.01.18 10:12	02.01.18 10:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Quentin Tarantino's Inglourious Basterds:02 The Verdict (Dopa La Condanna).aif
The Surrender (La Resa)	                Ennio Morricone	                            Ennio Morricone	                        Quentin Tarantino's Inglourious Basterds						                                            Soundtrack	30329507	168	    1	        1	                5	        14	                1966	02.01.18 10:12	02.01.18 10:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Quentin Tarantino's Inglourious Basterds:05 The Surrender (La Resa).aif
Un Amico	                            Ennio Morricone	                            Ennio Morricone	                        Quentin Tarantino's Inglourious Basterds						                                            Soundtrack	27942215	155	    1	        1	                13	        14	                1973	02.01.18 10:12	02.01.18 10:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Quentin Tarantino's Inglourious Basterds:13 Un Amico.aif
Rabbia E Tarantella	                    Ennio Morricone	                            Ennio Morricone	                        Quentin Tarantino's Inglourious Basterds						                                            Soundtrack	41786098	233	    1	        1	                14	        14	                1974	02.01.18 10:12	02.01.18 10:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Quentin Tarantino's Inglourious Basterds:14 Rabbia E Tarantella.aif
One Silver Dollar (Un Dollaro Bucato)	The Film Studio Orchestra	                Gianni Ferrio	                        Quentin Tarantino's Inglourious Basterds						                                            Soundtrack	22652601	125	    1	        1	                6	        14	                1965	02.01.18 10:12	02.01.18 10:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Quentin Tarantino's Inglourious Basterds:06 One Silver Dollar (Un Dollaro Bucato).aif
Main Theme From Dark Sun	            Jacques Loussier	                        Jacques Loussier	                    Quentin Tarantino's Inglourious Basterds						                                            Soundtrack	34417289	191	    1	        1	                10	        14	                1968	02.01.18 10:12	02.01.18 10:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Quentin Tarantino's Inglourious Basterds:10 Main Theme From Dark Sun.aif
Tiger Tank	                            Lalo Schifrin	                            Lalo Schifrin	                        Quentin Tarantino's Inglourious Basterds						                                            Soundtrack	14215941	77	    1	        1	                12	        14	                1970	02.01.18 10:12	02.01.18 10:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Quentin Tarantino's Inglourious Basterds:12 Tiger Tank.aif
