Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Judgment Night,Biohazard & Onyx,,Judgement Night - Music From The Motion Picture,,,,,,Pop,49105263,276,1,1,4,11,1993,"02.01.18, 09:14","02.01.18, 09:07",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Judgement Night - Music From The Motion Picture:04 Judgment Night.aif
Real Thing,Cypress Hill & Pearl Jam,,Judgement Night - Music From The Motion Picture,,,,,,Pop,37434644,210,1,1,11,11,1993,"02.01.18, 09:14","02.01.18, 09:12",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Judgement Night - Music From The Motion Picture:11 Real Thing.aif
Missing Link,Dinosaur Jr. & Del Tha Funky Homosapien,,Judgement Night - Music From The Motion Picture,,,,,,Pop,42550260,239,1,1,9,11,1993,"02.01.18, 09:14","02.01.18, 09:11",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Judgement Night - Music From The Motion Picture:09 Missing Link.aif
Another Body Murdered,Faith No More & Boo-Yaa T.R.I.B.E.,,Judgement Night - Music From The Motion Picture,,,,,,Pop,47096680,265,1,1,6,11,1993,"02.01.18, 09:14","02.01.18, 09:09",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Judgement Night - Music From The Motion Picture:06 Another Body Murdered.aif
Just Another Victim,Helmut & House Of Pain,,Judgement Night - Music From The Motion Picture,,,,,,Pop,46917914,264,1,1,1,11,1993,"02.01.18, 09:14","02.01.18, 09:05",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Judgement Night - Music From The Motion Picture:01 Just Another Victim.aif
"Me, Myself & My Microphone",Living Colour and RUN-DMC,,Judgement Night - Music From The Motion Picture,,,,,,Pop,33471540,188,1,1,3,11,1993,"02.01.18, 09:14","02.01.18, 09:07",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Judgement Night - Music From The Motion Picture:03 Me, Myself & My Microphone.aif"
Freak Momma,Mudhoney & Sir Mix-A-Lot,,Judgement Night - Music From The Motion Picture,,,,,,Pop,42966548,241,1,1,8,11,1993,"02.01.18, 09:14","02.01.18, 09:10",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Judgement Night - Music From The Motion Picture:08 Freak Momma.aif
Disorder,Slayer & Ice T,,Judgement Night - Music From The Motion Picture,,,,,,Pop,53098951,299,1,1,5,11,1993,"02.01.18, 09:14","02.01.18, 09:08",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Judgement Night - Music From The Motion Picture:05 Disorder.aif
I Love You Mary Jane,Sonic Youth & Cypress Hill,,Judgement Night - Music From The Motion Picture,,,,,,Pop,41221375,232,1,1,7,11,1993,"02.01.18, 09:14","02.01.18, 09:10",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Judgement Night - Music From The Motion Picture:07 I Love You Mary Jane.aif
Fallin',Teenage Fanclub & De La Soul,,Judgement Night - Music From The Motion Picture,,,,,,Pop,47567060,268,1,1,2,11,1993,"02.01.18, 09:14","02.01.18, 09:05",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Judgement Night - Music From The Motion Picture:02 Fallin'.aif
Come and Die,Therapy & Fatal,,Judgement Night - Music From The Motion Picture,,,,,,Pop,47226013,266,1,1,10,11,1993,"02.01.18, 09:14","02.01.18, 09:11",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Judgement Night - Music From The Motion Picture:10 Come and Die.aif
