Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Let's Stay Together,Al Green,"Al Green, Al Jackson, Jr. And Willie Mitchell",Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,34941774,197,1,1,4,16,1994,"26.12.17, 08:07","26.12.17, 08:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:04 Let's Stay Together.aif
"Zed's Dead, Baby / Bullwinkle Part II",The Centurians,Dennis Rose And Ernest Furrow,Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,26850902,151,1,1,8,16,1994,"26.12.17, 08:07","26.12.17, 08:02",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:08 Zed's Dead, Baby _ Bullwinkle Part II.aif"
You Never Can Tell,Chuck Berry,Chuck Berry,Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,34341982,193,1,1,9,16,1994,"26.12.17, 08:07","26.12.17, 08:02",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:09 You Never Can Tell.aif
Pumpkin And Honey Bunny / Miserlou,Dick Dale & His Del-Tones,"Fred Wise, Milton Leeds, S.K. Russel, Nicholas Roubanis",Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,26669832,150,1,1,1,16,1994,"26.12.17, 08:07","26.12.17, 07:58",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:01 Pumpkin And Honey Bunny _ Miserlou.aif
Son Of A Preacher Man,Dusty Springfield,John Hurley And Ronnie Wilkins,Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,26291114,148,1,1,7,16,1994,"26.12.17, 08:07","26.12.17, 08:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:07 Son Of A Preacher Man.aif
Royale With Cheese,John Travolta & Samuel L. Jackson,Quentin Tarantino,Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,18752954,105,1,1,2,16,1994,"26.12.17, 08:07","26.12.17, 07:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:02 Royale With Cheese.aif
Personality Goes A Long Way,John Travolta & Samuel L. Jackson,Quentin Tarantino,Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,11217156,62,1,1,14,16,1994,"26.12.17, 08:07","26.12.17, 08:05",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:14 Personality Goes A Long Way.aif
Jungle Boogie,Kool & The Gang,"Ronald Bell, Claydes Smith, George Brown, Robert Mickens, Donald Boyce, Richard Westfield, Dennis Thomas, Robert Bell",Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,33137863,186,1,1,3,16,1994,"26.12.17, 08:07","26.12.17, 07:59",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:03 Jungle Boogie.aif
Surf Rider,The Lively Ones,"Bob Bogle, Nole Edwards, Don Wilson",Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,35435683,199,1,1,15,16,1994,"26.12.17, 08:07","26.12.17, 08:05",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:15 Surf Rider.aif
If Love Is A Red Dress (Hang Me In Rags),Maria McKee,Maria McKee,Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,52562949,296,1,1,11,16,1994,"26.12.17, 08:07","26.12.17, 08:03",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:11 If Love Is A Red Dress (Hang Me In Rags).aif
Bring Out The Gimp / Comanche,The Revels,The Revels,Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,23475752,132,1,1,12,16,1994,"26.12.17, 08:07","26.12.17, 08:04",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:12 Bring Out The Gimp _ Comanche.aif
Lonesome Town,Ricky Nelson,Baker And The Knight,Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,24016707,135,1,1,6,16,1994,"26.12.17, 08:07","26.12.17, 08:01",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:06 Lonesome Town.aif
Ezekiel 25:17,Samuel L. Jackson,Quentin Tarantino,Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,9363750,52,1,1,16,16,1994,"26.12.17, 08:07","26.12.17, 08:06",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:16 Ezekiel 25_17.aif
Flowers On The Wall,The Statler Brothers,Lewis C. Dewitt,Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,25839517,145,1,1,13,16,1994,"26.12.17, 08:07","26.12.17, 08:05",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:13 Flowers On The Wall.aif
Bustin' Surfboards,The Tornadoes,"Gerald Sanders, Jesse Sanders, Norman Sanders, Leonard Delaney",Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,26415795,148,1,1,5,16,1994,"26.12.17, 08:07","26.12.17, 08:00",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:05 Bustin' Surfboards.aif
"Girl, You'll Be A Woman Soon",Urge Overkill,Neil Diamond,Music From The Motion Picture Pulp Fiction,,,,,,Soundtrack,33761052,190,1,1,10,16,1994,"26.12.17, 08:07","26.12.17, 08:03",1411,44100,,AIFF-Audiodatei,,,,,,,,"Macintosh HD:Users:stefan:Music:rippen:AIFFs:Pulp Fiction_1994:10 Girl, You'll Be A Woman Soon.aif"
