Name,Künstler,Komponist,Album,Gruppierung,Werk,Nummer für Satz,Satzzähler,Name für Satz,Genre,Größe,Dauer,Disc-Nummer,Anzahl der Discs,Titelnummer,Anzahl der Titel,Jahr,Geändert,Hinzugefügt,Datenrate,Abtastrate,Lautstärkeanpassung,Art,Equalizer,Kommentar,Wiedergaben,Zuletzt gespielt,Übersprungen,Zuletzt übersprungen,Meine Wertung,Ort
Chocolate Salty Balls (P.S. I Love You),Chef,South Park,South Park: Chef Aid,,,,,,Soundtrack,41555093,235,1,1,3,21,1998,"02.01.18, 09:49","02.01.18, 09:49",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:03 Chocolate Salty Balls (P.S. I Love You).aif
Simultaneous,Chef,South Park,South Park: Chef Aid,,,,,,Soundtrack,34929482,198,1,1,7,21,1998,"02.01.18, 09:51","02.01.18, 09:51",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:07 Simultaneous.aif
No Substitute,Chef,South Park,South Park: Chef Aid,,,,,,Soundtrack,50652604,287,1,1,11,21,1998,"02.01.18, 09:53","02.01.18, 09:52",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:11 No Substitute.aif
Tonight Is Right For Love,Chef & Meat Loaf,South Park,South Park: Chef Aid,,,,,,Soundtrack,32342308,183,1,1,18,21,1998,"02.01.18, 09:55","02.01.18, 09:55",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:18 Tonight Is Right For Love.aif
Nowhere To Run,"Crystal Method Feat. Ozzy Osbourne, DMX, Ol' Dirty Bastard & Fuzzbubble",South Park,South Park: Chef Aid,,,,,,Soundtrack,51929807,294,1,1,2,21,1998,"02.01.18, 09:49","02.01.18, 09:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:02 Nowhere To Run.aif
Huboon Stomp,Devo,South Park,South Park: Chef Aid,,,,,,Soundtrack,35475147,201,1,1,14,21,1998,"02.01.18, 09:54","02.01.18, 09:53",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:14 Huboon Stomp.aif
Wake Up Wendy,Elton John,South Park,South Park: Chef Aid,,,,,,Soundtrack,63228754,358,1,1,12,21,1998,"02.01.18, 09:53","02.01.18, 09:53",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:12 Wake Up Wendy.aif
Come Sail Away,Eric Cartman,South Park,South Park: Chef Aid,,,,,,Soundtrack,55203732,312,1,1,5,21,1998,"02.01.18, 09:50","02.01.18, 09:50",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:05 Come Sail Away.aif
It's A Rockin' World,Joe Strummer,South Park,South Park: Chef Aid,,,,,,Soundtrack,26721019,151,1,1,19,21,1998,"02.01.18, 09:55","02.01.18, 09:55",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:19 It's A Rockin' World.aif
Kenny's Dead,Master P,South Park,South Park: Chef Aid,,,,,,Soundtrack,36117246,204,1,1,6,21,1998,"02.01.18, 09:51","02.01.18, 09:50",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:06 Kenny's Dead.aif
Horny,Mousse T. Vs. Hot 'N' Juicy,South Park,South Park: Chef Aid,,,,,,Soundtrack,37241515,211,1,1,13,21,1998,"02.01.18, 09:53","02.01.18, 09:53",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:13 Horny.aif
Feel Like Makin' Love,Ned Gerblansky,South Park,South Park: Chef Aid,,,,,,Soundtrack,36392446,206,1,1,16,21,1998,"02.01.18, 09:54","02.01.18, 09:54",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:16 Feel Like Makin' Love.aif
Hot Lava,Perry Farrell & D.V.D.A.,South Park,South Park: Chef Aid,,,,,,Soundtrack,40715418,230,1,1,9,21,1998,"02.01.18, 09:52","02.01.18, 09:52",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:09 Hot Lava.aif
South Park Theme,Primus,South Park,South Park: Chef Aid,,,,,,Soundtrack,7062992,40,1,1,1,21,1998,"02.01.18, 09:48","02.01.18, 09:48",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:01 South Park Theme.aif
Mephisto And Kevin,Primus,South Park,South Park: Chef Aid,,,,,,Soundtrack,56139827,318,1,1,20,21,1998,"02.01.18, 09:55","02.01.18, 09:55",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:20 Mephisto And Kevin.aif
Brad Logan,Rancid,South Park,South Park: Chef Aid,,,,,,Soundtrack,24129098,136,1,1,4,21,1998,"02.01.18, 09:50","02.01.18, 09:50",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:04 Brad Logan.aif
Love Gravy,Rick James & Ike Turner,South Park,South Park: Chef Aid,,,,,,Soundtrack,42615836,241,1,1,15,21,1998,"02.01.18, 09:54","02.01.18, 09:54",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:15 Love Gravy.aif
Will They Die 4 You,"System Of A Down Feat. Mase, Puffy & Lil' Kim",South Park,South Park: Chef Aid,,,,,,Soundtrack,41056490,232,1,1,8,21,1998,"02.01.18, 09:52","02.01.18, 09:51",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:08 Will They Die 4 You.aif
Mentally Dull (Think Tank Remix),Vitro Feat. The Cast Of South Park,South Park,South Park: Chef Aid,,,,,,Soundtrack,48335933,274,1,1,21,21,1998,"02.01.18, 09:56","02.01.18, 09:55",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:21 Mentally Dull (Think Tank Remix).aif
The Rainbow,Ween,South Park,South Park: Chef Aid,,,,,,Soundtrack,29272922,165,1,1,17,21,1998,"02.01.18, 09:55","02.01.18, 09:54",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:17 The Rainbow.aif
Bubblegoose,"Wyclef Jean Feat. Stan, Kyle, Cartman & Kenny",South Park,South Park: Chef Aid,,,,,,Soundtrack,30448963,172,1,1,10,21,1998,"02.01.18, 09:52","02.01.18, 09:52",1411,44100,,AIFF-Audiodatei,,,,,,,,Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:South Park_ Chef Aid:10 Bubblegoose.aif
