Name	                                    Künstler	                                Komponist	                            Album	                                    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Star Wars And Revenge Of The Sith	        John Williams: London Symphony Orchestra	JOHN WILLIAMS (b.1932)/John Williams	Star Wars Episode 3 - Revenge Of The Sith						                                            Soundtrack	79704297	451	    1	        1	                1	        15	                2005	02.01.18 09:42	02.01.18 09:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Williams_ London Symphony Orchestra:Star Wars Episode 3 - Revenge Of The Sith:01 Star Wars And Revenge Of The Sith.aif
Anakin's Dream	                            John Williams: London Symphony Orchestra	JOHN WILLIAMS (b.1932)/John Williams	Star Wars Episode 3 - Revenge Of The Sith						                                            Soundtrack	50520662	286	    1	        1	                2	        15	                2005	02.01.18 09:42	02.01.18 09:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Williams_ London Symphony Orchestra:Star Wars Episode 3 - Revenge Of The Sith:02 Anakin's Dream.aif
Battle Of The Heroes	                    John Williams: London Symphony Orchestra	JOHN WILLIAMS (b.1932)/John Williams	Star Wars Episode 3 - Revenge Of The Sith						                                            Soundtrack	39292220	222	    1	        1	                3	        15	                2005	02.01.18 09:42	02.01.18 09:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Williams_ London Symphony Orchestra:Star Wars Episode 3 - Revenge Of The Sith:03 Battle Of The Heroes.aif
Anakin's Betrayal	                        John Williams: London Symphony Orchestra	JOHN WILLIAMS (b.1932)/John Williams	Star Wars Episode 3 - Revenge Of The Sith						                                            Soundtrack	43050713	243	    1	        1	                4	        15	                2005	02.01.18 09:42	02.01.18 09:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Williams_ London Symphony Orchestra:Star Wars Episode 3 - Revenge Of The Sith:04 Anakin's Betrayal.aif
General Grievous	                        John Williams: London Symphony Orchestra	JOHN WILLIAMS (b.1932)/John Williams	Star Wars Episode 3 - Revenge Of The Sith						                                            Soundtrack	43641064	247	    1	        1	                5	        15	                2005	02.01.18 09:42	02.01.18 09:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Williams_ London Symphony Orchestra:Star Wars Episode 3 - Revenge Of The Sith:05 General Grievous.aif
Palpatine's Teachings	                    John Williams: London Symphony Orchestra	JOHN WILLIAMS (b.1932)/John Williams	Star Wars Episode 3 - Revenge Of The Sith						                                            Soundtrack	57404973	325	    1	        1	                6	        15	                2005	02.01.18 09:42	02.01.18 09:37	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Williams_ London Symphony Orchestra:Star Wars Episode 3 - Revenge Of The Sith:06 Palpatine's Teachings.aif
Grievous And The Droids	                    John Williams: London Symphony Orchestra	JOHN WILLIAMS (b.1932)/John Williams	Star Wars Episode 3 - Revenge Of The Sith						                                            Soundtrack	36683855	207	    1	        1	                7	        15	                2005	02.01.18 09:42	02.01.18 09:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Williams_ London Symphony Orchestra:Star Wars Episode 3 - Revenge Of The Sith:07 Grievous And The Droids.aif
Padme's Ruminations	                        John Williams: London Symphony Orchestra	JOHN WILLIAMS (b.1932)/John Williams	Star Wars Episode 3 - Revenge Of The Sith						                                            Soundtrack	34783435	196	    1	        1	                8	        15	                2005	02.01.18 09:42	02.01.18 09:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Williams_ London Symphony Orchestra:Star Wars Episode 3 - Revenge Of The Sith:08 Padme's Ruminations.aif
Anakin Vs. Obi-Wan	                        John Williams: London Symphony Orchestra	JOHN WILLIAMS (b.1932)/John Williams	Star Wars Episode 3 - Revenge Of The Sith						                                            Soundtrack	41912346	237	    1	        1	                9	        15	                2005	02.01.18 09:42	02.01.18 09:38	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Williams_ London Symphony Orchestra:Star Wars Episode 3 - Revenge Of The Sith:09 Anakin Vs. Obi-Wan.aif
Anakin's Dark Deeds	                        John Williams: London Symphony Orchestra	JOHN WILLIAMS (b.1932)/John Williams	Star Wars Episode 3 - Revenge Of The Sith						                                            Soundtrack	43307086	245	    1	        1	                10	        15	                2005	02.01.18 09:42	02.01.18 09:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Williams_ London Symphony Orchestra:Star Wars Episode 3 - Revenge Of The Sith:10 Anakin's Dark Deeds.aif
Enter Lord Vader	                        John Williams: London Symphony Orchestra	JOHN WILLIAMS (b.1932)/John Williams	Star Wars Episode 3 - Revenge Of The Sith						                                            Soundtrack	44951131	254	    1	        1	                11	        15	                2005	02.01.18 09:42	02.01.18 09:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Williams_ London Symphony Orchestra:Star Wars Episode 3 - Revenge Of The Sith:11 Enter Lord Vader.aif
The Immolation Scene	                    John Williams: London Symphony Orchestra	JOHN WILLIAMS (b.1932)/John Williams	Star Wars Episode 3 - Revenge Of The Sith						                                            Soundtrack	28607087	161	    1	        1	                12	        15	                2005	02.01.18 09:42	02.01.18 09:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Williams_ London Symphony Orchestra:Star Wars Episode 3 - Revenge Of The Sith:12 The Immolation Scene.aif
Grievous Speaks To Lord Sidious	            John Williams: London Symphony Orchestra	JOHN WILLIAMS (b.1932)/John Williams	Star Wars Episode 3 - Revenge Of The Sith						                                            Soundtrack	29950090	169	    1	        1	                13	        15	                2005	02.01.18 09:42	02.01.18 09:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Williams_ London Symphony Orchestra:Star Wars Episode 3 - Revenge Of The Sith:13 Grievous Speaks To Lord Sidious.aif
The Birth Of The Twins And Padme's Destiny	John Williams: London Symphony Orchestra	JOHN WILLIAMS (b.1932)/John Williams	Star Wars Episode 3 - Revenge Of The Sith						                                            Soundtrack	38377317	217	    1	        1	                14	        15	                2005	02.01.18 09:42	02.01.18 09:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Williams_ London Symphony Orchestra:Star Wars Episode 3 - Revenge Of The Sith:14 The Birth Of The Twins And Padme's Destiny.aif
A New Hope And End Credits	                John Williams: London Symphony Orchestra	JOHN WILLIAMS (b.1932)/John Williams	Star Wars Episode 3 - Revenge Of The Sith						                                            Soundtrack	138680693	785	    1	        1	                15	        15	                2005	02.01.18 09:42	02.01.18 09:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:John Williams_ London Symphony Orchestra:Star Wars Episode 3 - Revenge Of The Sith:15 A New Hope And End Credits.aif
