Name	                            Künstler	    Komponist	    Album	                                                            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	Hinzugefügt	        Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Overture	                        Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	19290585	108	    1	        2	                1	        20	                1993	02.01.18 10:46	02.01.18 10:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:01 Overture.aif
Opening	                            Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	10320056	57	    1	        2	                2	        20	                1993	02.01.18 10:46	02.01.18 10:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:02 Opening.aif
This Is Halloween	                Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	34910226	196	    1	        2	                3	        20	                1993	02.01.18 10:46	02.01.18 10:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:03 This Is Halloween.aif
Jack's Lament	                    Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	34463342	194	    1	        2	                4	        20	                1993	02.01.18 10:46	02.01.18 10:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:04 Jack's Lament.aif
Doctor Finklestein / In The Forest	Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	27814259	156	    1	        2	                5	        20	                1993	02.01.18 10:46	02.01.18 10:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:05 Doctor Finklestein _ In The Forest.aif
What's This?	                    Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	32972173	185	    1	        2	                6	        20	                1993	02.01.18 10:46	02.01.18 10:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:06 What's This_.aif
Town Meeting Song	                Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	31408098	176	    1	        2	                7	        20	                1993	02.01.18 10:46	02.01.18 10:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:07 Town Meeting Song.aif
Jack And Sally Montage	            Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	56172311	317	    1	        2	                8	        20	                1993	02.01.18 10:46	02.01.18 10:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:08 Jack And Sally Montage.aif
Jack's Obsession	                Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	29597057	166	    1	        2	                9	        20	                1993	02.01.18 10:46	02.01.18 10:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:09 Jack's Obsession.aif
Kidnap The Sandy Claws	            Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	32452394	182	    1	        2	                10	        20	                1993	02.01.18 10:46	02.01.18 10:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:10 Kidnap The Sandy Claws.aif
Making Christmas	                Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	42196724	237	    1	        2	                11	        20	                1993	02.01.18 10:46	02.01.18 10:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:11 Making Christmas.aif
Nabbed	Danny Elfman	            Danny Elfman	                The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	32729914	184	    1	        2	                12	        20	                1993	02.01.18 10:46	02.01.18 10:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:12 Nabbed.aif
Oogie Boogie's Song	                Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	34994903	197	    1	        2	                13	        20	                1993	02.01.18 10:46	02.01.18 10:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:13 Oogie Boogie's Song.aif
Sally's Song	                    Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	19229440	107	    1	        2	                14	        20	                1993	02.01.18 10:46	02.01.18 10:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:14 Sally's Song.aif
Christmas Eve Montage	            Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	50327593	283	    1	        2	                15	        20	                1993	02.01.18 10:46	02.01.18 10:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:15 Christmas Eve Montage.aif
Poor Jack	                        Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	26885197	151	    1	        2	                16	        20	                1993	02.01.18 10:46	02.01.18 10:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:16 Poor Jack.aif
To The Rescue	                    Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	38734577	218	    1	        2	                17	        20	                1993	02.01.18 10:46	02.01.18 10:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:17 To The Rescue.aif
Finale / Reprise	                Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	29230148	164	    1	        2	                18	        20	                1993	02.01.18 10:46	02.01.18 10:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:18 Finale _ Reprise.aif
Closing	                            Danny Elfman	Danny Elfman	The Nightmare Before Christmas: Original Motion Picture Soundtrack						                                            Soundtrack	15419195	86	    1	        2	                19	        20	                1993	02.01.18 10:46	02.01.18 10:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Danny Elfman:The Nightmare Before Christmas_ Original Motion Picture Soundtrack:19 Closing.aif
